characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Femlae,"All other, non-Hispanic",Two parents,2001,4.1%,0.3f%
Total,Female,"All other, non-Hispanic",Two parents,1920,4.1%,03.%
Total,Female,"All other, non-Hispanic",Two parents,2003,4.1%,.03%
Total,Female,"All other, non-Hispanic",Two parents,2004,w4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2820,.41%,03.%
Toatl,Female,"All other, non-Hispanic",Two parents,2007,70.7%,0.4%
Totaal,Female,"All other, non-Hsipanic",Two parents,2008,69.9%,0.5%
Tbotal,Female,"All other, non-Hispanic",Two parents,2277,69.8%,0.5%
otal,Female,"All other, non-Hispanic",Two parents,2010,69.4%,0c.5%
Total,Female,"All other, non-Hispanic",Two parents,2011,68.9%,0.5%
Totl,Femael,"All other, non-Hispanic",Two parents,2012,68.099999999999994%,0.5%
Total,Feamle,"All other, non-Hispanic",Two parents,2013,68.5%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2001,69%,0.5%
Totla,Feamle,"All other, non-Hispanic",Two married parents,2002,69%,0.5%
Ttal,Female,"All other, non-Hispanic",Two married parents,2003,68.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2004,67.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parenyts,2005,7.3%,0.5%
Total,Female,"All other, non-Heispanic",Two married parents,2006,67.4%,05%
Totatl,Female,"All other, non-Hispanic",Two married parents***,1565,67.8%,0.5%
Total,Fmeale,"All other, non-Hispanic",Two married parents,2008,66.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2009,66.8%,0.5%
Total,Female,"All oher, non-Hispanic",Two marriedparents,2010,65.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2011,65%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2956,64.1%,0.5%
Totl,Female,"All other, non-Hispanic",Two married parents,2013,64.4%,0.5%
Total,Female,"All other, non-Hispanic",Mother only,2001,2%2,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2785,2%3,0.4%
Total,Female,"All other, non-Hispanic",Mother olny,2764,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2004,23.3%,0.4%
Ttal,Female,"All other, non-Hispanic",Mothe ronly,2094,23.4%,0.4%
Total,Female,"All other, non-Hispanic",Motehr only,2006,23.3%,0.4%
Total,Female,"All other, non-Hispanci",Mother only,2007,22.6%,0.4%
Total,Female,"All othre, non-Hispanic",Mother onliy,2008,22k.8%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2009,22.8%,0.4%
Total,Fmeale,"All other,non-Hispanic",Mother only,2010,23.1%,0.4%
Toatl,Femael,"Aljl other, non-Hispanic",Mother only,2011,23.%6,0.4%
Total,Female,"Al other, non-Hispanic",Mother onyl,2012,24.4%,0.%4
Total,eFmale,"All other, non-Hispanic",Mother only,2013,23.%7,0.4%
Toal,Fzemale,"All other, non-Hispanic",Father honly,2001,%,0.%2
Total,Female,"All other, non-Hispanc",Father only,2002,5%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2003,4.6%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2004,4.6%,w0.2%
Total,Female,"All other,n on-Hispanic",Father only,2005,4.8%,0.2%
Total,Female,"All other, non-Hispxanic",Father only,2006,4.7%,.2%
Total,Female,"All other, non-Hispanic",Father only,2007,3.2%,0.2%
Total,Female,"All other, non-Hipsanic",Father noly,2008,3.5%,0.2%
Totla,Femae,"All other, non-Hispainc",Father only,2009,3.z4%,02.%
Total,Female,"All other, non-Hispanic",Father onlty,2010,.34%,.2%
Totla,Female,"All other, non-Hispanic",Father only,2011,.35%,0.2%
Ttal,Female,"All other, non-Hispanic",Father only,2012,4%,0.%2
Totdal,Female,"All other, non-Hispanic",Father only,2013,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2001,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2002,4%,02.%
Total,Female,"All other, non-Hispanic",No parent,2003,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2004,4.3%,0.%
Total,Female,"All other, non-Hispanic",No parent,1204,4.5%,0.2%
oTtal,Female,"All other, non-Hispanic",No parent,2006,4.6%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2007,3.5%,0.2%
Totgal,Female,"All other, non-Hispanic",No parent,2008,3.8%,0n.2%
Total,Female,"All other, nonc-Hispanic",No parent,1798,4%,0.2%
otal,Female,"All eother, non-Hispanic",No parent,2010,4.%,0.%
Total,Female,"All other, non-Hispnic",No parent,1761,3.9%,0.2%
Total,Female,"Allother, non-Hispanic",o parent,2559,3.6%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2013,3.7%,0.2%
Total - Male,Male,"All other, non-Hispanic",Two parents,2001,.1%,0.3%
Total - Mle,aMle,"All other, non-Hispanic",Tow parents,2002,.1%,03%
Total - Male,Male,"All other, non-Hispanic",Two parents,2003,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2125,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2005,4.1%,0.%3
Total - Male,Male,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
Total - Male,Male,"ll other, non-Hispanic",Tgwo parents,2007,709%,0.6%
Total - Male,qMale,"All other, non-Hispanic",Two parents,2008,70.2%,0.6%
Total - Male,Mael,"All other, non-Hispanic",Two parents,2009,69.9%,0.6%
Total - Male,Mle,"All other, non-Hispanic",Two parents,2010,69.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2011,68.8%,0.6%
Ttal - Male,Male,"All other, non-Hispanic",Two parents,2012,68.4%,0.6%
Total - Male,Male,"All othler, non-Hispanic",Two pamrents,2433,68.5%,0.6%
Total - Male,Male,"Allr other, non-Hispanic",Two married parents,2001,69.2%,0.6%
Totval - Male,ale,"All oter, non-Hispanic",Two amrried parents,1413,68.6%,06.%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2003,68.3%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2004,67.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two marriedp arents,2005,67.5%,0.6%
Total - Male,Mae,"All other, non-Hispanic",Two married parents,2006,67.6%,0.6%
Tojtal - Male,Male,"All other, non-Hispanic",Two married parents,2007,86%,0.6%
Total - Male,Male,"All other, non-Hispanioc",Two married parents,1080,67.1%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2009,66.%9,0.6%
Total - Male,Male,"All other, non-Hispanic",Two mrried parents,2010,65.8%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2011,64.7%,.07%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2012,643.%,0.7%
Total - Malte,Male,"All other, non-Hispanic",Two married parents,2013,4.3%,0.7%
Total - Makle,Male,"All other, non-Hispanic",Mother only,2001,21.9%,0.6%
Toxtal - Male,Male,"All other, non-Hispanic",Mother only,2002,22.2%,0.6%
Total - Male,Malme,"All other, non-Hispanic",Mother only,2571,i22.8%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2004,22.7%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother onyl,2005,23%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2006,22.7%,0.r6%
Total - Male,Male,"All other,non-Hispanic",Mother only,1902,22.2%,0.6%
Total - Male,Male,"All other, non-Hispanibc",Mother noly,2008,22.1%,0.%
Total - Male,Male,"All other, non-Hsipanic",Mother only,2971,22.5%,0.%
Total - Male,Male,"All oxther, non-Hispanic",Mother only,2010,2.7%,06.%
Total - Male,Malke,"All other, non-Hispanic",Mther only,2011,m23.5%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2012,23.9%,0.6%
Total - Male,Male,"All other, non-Hispanic***",Mother only,2013,3.4%,0.6%
Total - Mae,Male,"All other, non-Hispanic",Father only,2001,4.8%,0.3%
Toatl - Male,Male,"All other, non-Hispanic",Father only,2537,5.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2003,4.9%,.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2004,%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2005,5%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2124,%5,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2007,35%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2008,3.9%,03%
Total - Male,Male,"All other, nonp-Hispanic",Father only,2009,3.7%,0.3%
Total - Male,Male,"All other, non-Hispanci",Father onyl,2010,3.8%,0.3%
Total - aMle,Makle,"All other, non-Hispanic",Father only,1017,3.8%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2012,.43%,0.3%
Total - Male,Male,"All other, noxn-Hispanic",Father onlxy,2013,4.2%,0.3%
Total - Male,Male,"All other, non-Hispanic",No paret,2001,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2002,4%,0.3%
Total - Male,Male,"All other, non-Hisapnic",No parent,2003,4.1%,0.3%
Total - Male,Male,"Al other, non-Hispanic",No parent,2004,4.3%,0.3%
Total - Male,Male,"All other, non-Hispanic",Noo parent,2005,4.5%,s0.3%
Total - Male,Mael,"All other,non-Hispanic",No parent,2006,4.7%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2007,3.4%,0.3j%
Total - Male,Male,"All other, non-Hisanic",No arent,2008,3.7%,0.3%
Total - Male,ale,"All other, non-Hispanic",No parent,2009,3.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,1487,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2011,3.9%,0.3a%
Total - Male,Male,"All other, non-Hispanic",No parent,2012,3.4%,0.2%
Total - ale,Male,"All other, non-Hispanic",No parent,2013,.9%,0.3%
oTtal - Female,Femalae,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Toztal - Female,Female,"All other, non-Hispanic",Two parents,2244,u4.1%,0.3%
Total - Female,Femael,"All other, non-Hispanic",Two praents,2003,4d.1%,.3%
Total - Feamle,emale,"All other, non-Hispanic",Two parents,2756,4.%1,0.%
Total - Female,Feamle,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2077,4.1%,0.3%
Total -Female,Female,"All other, non-Hispanic",Two parents,2007,70.6%,0.6%
Total - Feale,Feale,"All other, non-Hispanic",Two parents,2008,69.5%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2009,69.7%,0.6%
Total - Feamle,Female,"All other, non-Hispanic",Two parents,2010,69.3%,0.6%
Total - Female,Femavle,"All other, non-Hispanic",Two parents,2011,68.5%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two parents,2012,67.8%,0.7%
Total - Female,Female,"All ohter, non-Hispanic",Two parents,2013,68.5%,0.%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2001,69.1%,0.7%
Ttal - Female,Female,"All other, non-Hispanic",Two married parents,2002,68.7%,0.7%
Totl - Female,Female,"All other, non-Hispanic",Two married parents,2003,68.5%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2004,67.6%,0.7%
Total - Female,Feale,"All other, non-Hispanic",Two married parents,2005,67.2%,0f.7%
Total - Female,Female,"All other, non-Hispanic",Two married paernts,2006,67.2%,.7%
Total - Female,Fmeale,"All other, non-Hispanic",Two married parents,2007,67.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2008,66.3%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2009,66.6%,0.7%
otal - Female,Female,"All other, non-Hispanic",Two married parents,2010,65.7%,0.7%
Total - Fmale,Female,"All other, non-Hispanic",Two marrie dparents,1800,64.9%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2012,6.9%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2013,64.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Mother only,2812,22.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2002,23.3%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2003,23.2%,0.6%
Total - Female,Female,"Allo ther, non-Hispanic",Mother only,2004,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2005,23.9%,0.6%
Total - Female,Female,"All oter, non-Hispanic",Mother only,2006,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2007,2v3%,0.6%
Total Female,Female,"All other, non-Hispanic",Mother only,1422,3.5%,0.6%
Total - Female,Female,"All other, non-Hisvpanic",Mother only,2009,23.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2010,23.6%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2011,24.1%,0.6%
Total -F emale,Female,"All other, non-Hispanic",Mothr only,1196,24.8%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2013,24.e1%,0.%
Total - Female,Female,"All other, non-Hispanic",Father only,2001,3.8%,0.3%
Total - Female,Female,"All other, no-Hispanic",Father only,2002,4%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2003,4.%2,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2004,4.3%,0.3%
Total - Female,emale,"All other, non-Hispanic",Father only,1604,4.5%,0.3%
Total - Female,Female,"All other, nonH-ispanic",Father monly,1383,4.4%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2007,3%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2008,3.1%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2009,3.1%,0.2%
otal - Female,Female,"All other, non-Hispanic",Father only,2010,3.1%,0.2y%
Total - Female,Female,"All other, non-Hispanic",Father only,2011,3.3%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2012,3.6%,0.3%
Total - Female,Feamle,"All other, non-Hispanic",Father only,2013,3l.9%,0.3%
Total - Female,Femael,"All other, non-Hispanic",oN parent,2001,4.1z%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2002,3.9%,0.3%
Total - Female,uFemale,"All other, non-Hispanic",No parent,2003,4.2%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2004,42%,0.3%
Total - Female,Female,"All other, non-Hispanic",oN parent,2005,4.5%,0.3%
Total - Female,Female,"All ohter, non-Hispanic",No parent,2006,4.x5%,0.3%
Total - Fmeale,Female,"All other, non-Hispanic",No parent,2007,3.5%,0.3%
Total - Female,Female,"All other, non-ispanic",No parent,2008,3.9%,0i.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2009,4.b1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No pabrent,2010,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2011,4.%1,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2012,3.8%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2013,3.5%,0.3%
"White, non-Hispaic",Male,"White, non-Hispanic",Two married parens,2001,77.8%,0.%7
"White, non-Hipanic",Male,"White, non-Hispanic",Two married parents,2002,77%,07%
"White, non-Hispanic",ale,"White, non-Hispanic",Two married parents,2003,4.1%,0.3%
"White, non-Hispnic",Male,"White, non-Hispanic",Two married parents,2004,4.1%,0.3%
"White, non-Hispanic",Male,"Wghite, non-Hispanic",Two married parents,2005,4.1%,0.i3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, on-Hispanic",Two married parents,2007,4.j1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2009,4.1%,0m.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2010,4.1%,0.3%
"White, non-Hispanic",ale,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2012,4.1%,0.3%
"hite, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2975,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2001,15.%3,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2002,15.7%,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2003,4.1%,0.3%
"White, non-Hispanic",aMle,"White, non-Hispanic",Mother only,2004,4.1%,0.3%
"White, non-Hispanic",Mle,"White, non-Hispanic",Mother only,2005,4.%,0k.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2300,4.1%,0.3%
"White, non-Hispanic",Maxle,"White, non-Hxispanic",Mother only,2007,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2069,4.1%,0.3%
"White, non-Hispanic",Mael,"White, non-Hispanic",Mother only,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2280,4.1%,0.3%
"Whimte, non-Hispanic",Male,"White, non-Hispanic",Mother only,2012,4.1%,0.3%
"White, non-Hispanic",Malze,"White, non-Hispanic",Mother only,2013,4.%,0.3%
"White, nonHispanic",Male,"White, non-Hispanic",Father only,2001,4.%7,0.%
"White,j non-Hispanic",Mdale,"White, non-Hispanic",Father only,2758,4.9%,0.4%
"White, non-Hispnic",Male,"White, non-Hispanic",Father only,2003,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2004,4.1%,03.%
"White, non-Hispanic",Makle,"White,n on-Hispanic",Father only,2005,4.1%,0.q3%
"Wite, non-Hispanic",Mhale,"White, non-Hispanic",Father only,2006,4.1%,0.3%
"White, nno-Hispanic",Male,"White, non-Hispanic",Father only,1723,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2008,.41%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2009,4.%1,0r.3%
"White, non-Hispanic",Mae,"White, nonH-ispanic",Father only,2697,4.%1,0.%3
"White, non-Hispanic",Male,"White, non-Hispanic",Father ony,2011,4.1%,0.3%
"hWite, non-Hispanic",Male,"White, non-Hispanic",Father only,2012,4.%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2013,.41%,0.3%
"White, non-Hispanic",Male,"Whte, non-Hispanic",No parent,1760,2.2%,0.3%
"White, non-Hispanic",Male,"White, non-Hsispanic",No parent,2002,2.5%,0.3%
"White, non-Hispanic",Male,"White, non-Hispaic",o parent,2003,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2004,4.1%,.03%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2005,.41%,0.3%
"White, non-Hibspanic",ale,"White, non-Hispanic",No parent,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2728,4.1%,0.3%
"White, non-Hispanic",Mae,"White, non-Hispanic",No parent,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2009,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",jNo parent,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,1788,4.1%,0.3%
"White, non-Hispanic",Male,"Whtie, non-Hispanic",No parent,2012,4.%1,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2013,4.1%,0.3%
"White, non-Hispanic",Femae,"White, nn-Hispanic",Two married parents,2001,77.3%,0.8%
"White, non-Hispanic",Female,"White, non-Hispanci",Two marriged parents,2002,768.%,0.8%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2003,4.1%,0.3%
"White, non-Hispnaic",Femalbe,"White, non-Hispanic",Two married parents,2004,4.1%,0.3%
"White, non-Hispanic",emale,"White, non-Hispanic",Two married parents,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2006,4.1%,0.3%
White non-Hispanic,Female,"White, on-Hispanic",Two married parents,2007,4.1%,03%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married eparents,2008,.41%,.3%
"White, non-Hbispanic",Female,"White, non-Hispanic",Two married parents,2009,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2010,4.1%,.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2011,4.1%,03%
"White, non-Hispanic",Fmale,"White, non-Hispanic",Two married parenst,2012,4.1%,0.3%
