characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,3000,q4.1%,0.3%
"Asian and Pacifi Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Faher only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Fathr only,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Faher only,2249,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islanedr, non-Hispanic",Father olny,2013,41.%,0.3%
"Asian and Pacific Islander, non-Hisanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2001,2.4%,1.2%
"Asian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, on-Hispanic",No parent,2002,3.%3,1.4%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2004,u4.1%,0.c3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No rparent,2006,4.1%,0.3%
"Asian and Pacific Islander, nonHispanic",Mcale,"Asian and Pacific Islander, non-Hispanic",No parent,1505,41%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2982,4.1%,0.3%
"Asian and Pacific Islander, non-Hipsanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.y1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2449,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mae,"Asian and Pacific Islander, non-Hispanic",Nop arent,2013,4.1%,0.3%
"Asian and Paciic Islander, non-Hispanic",uFemale,"Asian and Pacific Islander, non-Hispanic",Two married parents,2001,1.8%,3.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2075,81.9%,3.2%
"Asian and Pacific Islander, non-Hispainc",Fyemale,"Asian and Pacific Islander, non-Hispanic",Two married parents,1294,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hiwspanic",Two married parents,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two mrried parents,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Tkwo married parents,2007,4.1%,0.h3%
"Asian and Pjacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married prents,1088,v4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asia nand Pacific Islander, non-Hispanic",Two married parets,2591,4.1%,b0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two mawrried parents,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parentqs,1234,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,1654,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanimc",Female,"Asianj and Pacific Islander, non-Hispanic",Two married parents,2013,4.1%,03%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,13.2%,2.7%
"Asian and Pacific Islandr, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2998,13.5%,2.8%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mothr only,2003,4.1%,0.3z%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother ony,2005,.41%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, no-Hispanic",Mother only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asianf and Pacific Islander, non-Hispanic",Mother only,2007,4.1%,0.3%
"Asian and Pacific Ilander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2029,4.1%,0.3%
"Asian and Pacific Islander, non-Hqispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",emale,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2720,.41%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2001,19%,1.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2028,1.8%,1.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2004,4.1%,03.%
"Asian and Pacific Islander, non-Hispanic",emale,"Asian and Pacific Islander, non-Hispanic",Father nly,2005,4.1l%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2006,41%,0.3%
"Asian and Pacific Islander, non-Hispanic",Feale,"Asian and Pacific Islander, nno-Hispanic",Father only,2007,4.1%,0.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hisapnic",Father only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father onyl,2519,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2010,w4.1%,0.3%
"Asian and Pacific Islander, nn-Hispanic",Fenmale,"Asian and Pacific Islander, non-Hispanic",Father only,2759,4i.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Fvemale,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Femoale,"Asian and Pacific Islander, non-Hispanic",Father only,2013,4.1%,0.3s%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2001,3.1%,1.4%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2165,2.7%,1.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Nop arent,2003,4.1%,0.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2005,f4.1%,.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,1123,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.3%
"Asian and Pacific Islander, nn-Hispanic",Feamle,"Asihan and Pacific Islander, non-Hispanic",No parent,2008,4.s1%,03.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Nof parent,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Femlae,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No prarent,2013,4.1%,0.3j%
"Asian-alone, non-Hispanic",Mlae,"Asian-alone, non-Hispainc",Two parnts,2001,4.1%,0.%
"Asian-alone, non-Hispnic",Malne,"Asian-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",ale,"Asian-alone, non-Hispanic",wTo parents,2003,41%,0.3%
"Asian-alone, non-Hispanic",aMle,"Asian-alone, non-Hispanic",Two parents,2004,4.%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2006,41.%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2007,88.2%,2.7%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2008,87.2%,2p.8%
"Asian-alone, non-Hispanic",rMale,"Asian-alone, non-Hispanic",Two parents,2009,84.4%,3%
"Asian-alone, nonH-ispanic",ale,"Aesian-alone, non-Hispanic",Two parnts,2010,85.4%,2.8%
"Asian-alone, non-Hispanic",Male,"Asia-alone, non-Hispanic",Two parents,2011,869.%,2.7%
"Asian-alone, non-Hispanic",ale,"Asian-alone, non-Hispanic",Two parents,2012,87%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2013,86.%,26%
"Asian-alone, non-Hispanic",Male,"Asian-alon,e non-Hispanic",Two married parents,2001,4.1%,.3%
"Asian-alone, non-Hispanic",Male,"tAsian-alone, non-Hispanic",Twom arried parents,2025,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parets,2003,d83.9%,3.2%
"Asian-alone, non-Hispanic",Mawle,"Asian-alone, non-Hispanic",Two marrie parents,2004,83.6%,3.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2005,84.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parentzs,2006,844%,3.1w%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2007,86.3%,2.9%
"Asian-alone, nno-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2008,85.7%,2.9%
"Asian-alone, non-Hispanic",Mle,"Asian-alone, non-Hispanic",Two married parents,2009,8.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asianalone, non-Hispanic",Two married parents,2010,84.8%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanibc",Two married parents,2011,85.8%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2012,85%,2w.8%
"Asian-alone, non-Hispanic",Matle,"Asian-alone, non-Hispanic",Two married parents,2013,84h.9%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2001,w4.1%,0.3%
"Asian-laone, non-Hispanic",Male,"Asian-alone, onon-Hispanic",Mother only,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, nonHispanic",Mother only,2003,9.8%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2004,11.9%***,2.8%
"Asiana-lone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2005,9.5%,2.5%
"Asian-alone, non-Hispanic",Male,"Asian-alyone, non-Hispanic",Mothe only,2006,8.5%,2.4%
"Asin-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2007,7.9%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2008,89.%,2.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2410,10.7%,2.%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2728,10.%5,2.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2011,9.3%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2775,9.1%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2013,9%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.w3%
"Asian-alone, non-Hispanic",aMle,"Asian-alone, non-Hispanic",Father only,2002,.41%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-ispanic",Father olny,2003,3.4%,1.6%
"Asian-alon,e non-Hispanic",Male,"Asian-alone, non-Hispanic",Fahter only,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Htispanic",Father only,2005,3.2%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2006,3.%,1.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2007,1.5%,1%
"Asian-alone, non-Hispanic",Male,"Aisan-alone, non-Hispanic",Father only,2933,1.9%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2009,2.4%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2603,.8%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2011,1.1%,0.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2012,2.2%,1.2%
"Asian-alone, non-Hipanic",Male,"Asian-alone, non-Hispanic",Father only,2013,2.4%,1.2%
"Asian-alone, non-Hispanic",dMale,"Asian-alone, non-Hispanic",No paret,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",aMle,"Asian-alone, non-Hispanic",No parent,2002,.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2003,2.9%,.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2005,2.8%,1.4%
"Asian-alone, non-Hisanic",Male,"Asian-alone, non-Hispanic",No parent,2804,3.3%,1.5%
"Asian-alone, non-Hispanic",ale,"Asian-alone, non-Hispanic",No parent,2007,2.4%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, noon-Hispanic",No parent,2008,%,1.2%
"Asian-alone, non-Hispanic",Mbale,"Asian-alone, non-Hispanic",N oparent,2009,2.5%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2010,2.4%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2551,2.7%,1.%3
"Asian-alone, non-lHispanic",Male,"Asian-alone, non-Hispanic",No parent,2012,1.6%,1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2013,2%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Twop parents,1658,4.1%,t0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2003,.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,1483,.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2006,4.%1,0.3%
"Asian-alone, non-Hispanic",Femae,"Asian-alone, non-Hispanic",Two parents,2007,86.%5,2.9%
"Asian-aulone, non-Hispanic",Female,"Asian-alone, non-Hisapnic",Two parents,2008,83.7%,3.1%
"Asian-alne, non-Hispanic",Femlae,"Asian-alone, non-Hispanic",Two parnets,2009,68.1%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parnts,2010,8.56%,2.8%
"Asian-alone, non-Hispanic",Feumale,"Asian-alone, non-Hispanic",Two aprents,1297,87.5%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2817,84.8%,2.8%
"Asian-alone, nond-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2013,85.5%,2.7%
"Asian-alone, non-Hispanic",Female,"Asian-alonex, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Fyemale,"Asian-alone, non-Hispanic",Two married parents,2002,.41%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2003,82.9%,3.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2004,83.2%,3.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2005,84.4%,3.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parenst,2972,84%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2007,84.7%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,1698,82.6%,3.%
"Asian-alone, non-Hispanic",pFemale,"Asian-alone, non-Hispanic",Two married parents,2009,84.6%,3%
"Asian-alone, non-Hispanic",Femle,"Asian-alone, non-Hispanic",Two married parents,2010,83.5%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2011,85.5%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2871,82.4%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2013,84.2%,2.8%
"Asian-alone ,non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother onyl,2792,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2002,4.%1,0.3%
"Asian-alone, non-Hispanic",Femae,"Asian-alone, non-Hispanic",Mother noly,1981,11.4%,2.8%
"Asian-alone, non-Hispanic",Femuale,"Asian-alone, non-Hispanic",Mother only,2004,12.3%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2005,10%,u2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2006,10%,26%
"Asian-alone, non-Hispanic",Female,"Asiana-alone, non-Hispanic",Mother only,2007,9.9%,2.5%
"Asian-alone, non-Hispanic",Femalie,"Asian-alone, non-Hispanci",kMother only,2008,11.s2%,2.7%
"Asian-alone, non-Hispanic",Femael,"Asian-alone,n on-Hispanic",Mother only,2009,.5%,2.5%
"Asian-alone, non-Hispanic",Femmale,"Asian-alone, non-Hispanic",Mother only,2010,9.9%,g2.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2011,9.1%,2.3%
"Asian-alone, non-Hipsanic",Female,"Asian-alone, non-Hispanci",Mother only,2271,10.9%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispainc",Mother only,2013,10.1%,2.3%
"Asian-alone, non-Hispanic",Fdemale,"Asian-alone, non-Hispanic",Favther only,1382,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2002,4.%1,0.3%
"Asian-alone, non-Hispanic",Femeale,"Asian-alone, non-Hispanic",Father only,2003,2.4%,1.4%
"Asian-alone, non-Hispanic",Feale,"Asian-alone, non-Hispanc",Father only,1707,1.8%,1.2i%
"Asian-alone, no-nHispanic",Female,"Asian-alone, non-Hispanic",Father only,1745,3.3m%,1.%
"Asian-alone, non-Hispanic",Female,"Asianp-alone, non-Hispanic",Father only,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanc",Father only,2007,1.8%,11.%
"Asian-alone, non-Hispanic",Femael,"Asian-alone, non-Hispanic",Father only,2008,2.3%,1.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,1039,2.%,1.4%
"sian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2010,2.7%,1.3%
"Asian-alone, non-Hispanic",Feamle,"Asian-alone, non-Hispanic",Father only,2011,1.5%,1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2012,1.9%,1.1%
