groupnumbernoprecedingzeroes(long),grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes(long),seriestitle,seriesnumberandtitle
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",6.0,CORRECTIONAL INSTITUTION ADMINISTRATION,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,7.0,CORRECTIONAL OFFICER,0007-CORRECTIONAL OFFICER
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",11.0,BOND SALES PROMOTION SERIES,0011-BOND SALES PROMOTION SERIES
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",17.0,EXPLOSIVES SAFETY,0017-EXPLOSIVES SAFETY
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,83.0,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0062-CLOTHING DESIGN
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,25.0,SAFETY TECHNICIAN,0019-SAFETY TECHNICIAN
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,11.0,COMMUNITY PLANNING,0017-EXPLOSIVES SAFETY
100.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,21.0,COMMUNITY PLANNING TECHNICIAN,0021-COMMUNITY PLANNING TECHNICIAN
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",23.0,OUTDOOR RECREATION PLANNING,0023-OUTDOOR RECREATION PLANNING
70.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,25.0,PARK RANGER,0019-SAFETY TECHNICIAN
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",28.0,ENVIRONMENTAL PROTECTION SPECIALIST,0007-CORRECTIONAL OFFICER
13.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,29.0,ENVIRONMENTAL PROTECTION ASSISTANT,0029-ENVIRONMENTAL PROTECTION ASSISTANT
18.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,11.0,SPORTS SPECIALIST,0029-ENVIRONMENTAL PROTECTION ASSISTANT
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",6.0,FUNERAL DIRECTING,0062-CLOTHING DESIGN
62.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,60.0,CHAPLAIN,0007-CORRECTIONAL OFFICER
20.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,62.0,CLOTHING DESIGN,0062-CLOTHING DESIGN
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",84.0,FINGERPRINT IDENTIFICATION,0023-OUTDOOR RECREATION PLANNING
100.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,25.0,SECURITY ADMINISTRATION,0062-CLOTHING DESIGN
43.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,29.0,FIRE PROTECTION AND PREVENTION,0021-COMMUNITY PLANNING TECHNICIAN
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",21.0,UNITED STATES MARSHAL,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",83.0,POLICE,0029-ENVIRONMENTAL PROTECTION ASSISTANT
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",84.0,NUCLEAR MATERIALS COURIER,0084-NUCLEAR MATERIALS COURIER
70.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,7.0,SECURITY GUARD,0007-CORRECTIONAL OFFICER
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",83.0,SECURITY CLERICAL AND ASSISTANCE,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",60.0,EMERGENCY MANAGEMENT SPECIALIST,0019-SAFETY TECHNICIAN
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",17.0,GUIDE,0011-BOND SALES PROMOTION SERIES
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",28.0,FOREIGN LAW SPECIALIST SERIES,0019-SAFETY TECHNICIAN
65.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,29.0,GENERAL STUDENT TRAINEE,0029-ENVIRONMENTAL PROTECTION ASSISTANT
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",101.0,ENVIRONMENTAL PROTECTION ASSISTANT,0007-CORRECTIONAL OFFICER
180.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",102.0,GENERAL STUDENT TRAINEE,0062-CLOTHING DESIGN
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",105.0,SECURITY GUARD,0105-SOCIAL INSURANCE ADMINISTRATION
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",106.0,CHAPLAIN,0084-NUCLEAR MATERIALS COURIER
154.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",107.0,GENERAL STUDENT TRAINEE,0084-NUCLEAR MATERIALS COURIER
143.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",110.0,SAFETY TECHNICIAN,0105-SOCIAL INSURANCE ADMINISTRATION
149.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",119.0,ENVIRONMENTAL PROTECTION ASSISTANT,0021-COMMUNITY PLANNING TECHNICIAN
149.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",130.0,CHAPLAIN,0007-CORRECTIONAL OFFICER
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",131.0,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0131-INTERNATIONAL RELATIONS
113.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",132.0,FIRE PROTECTION AND PREVENTION,0021-COMMUNITY PLANNING TECHNICIAN
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",134.0,SECURITY ADMINISTRATION,0142-WORKFORCE DEVELOPMENT
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",135.0,CHAPLAIN,0084-NUCLEAR MATERIALS COURIER
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",136.0,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0011-BOND SALES PROMOTION SERIES
139.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",140.0,SPORTS SPECIALIST,0021-COMMUNITY PLANNING TECHNICIAN
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",142.0,ENVIRONMENTAL PROTECTION ASSISTANT,0142-WORKFORCE DEVELOPMENT
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",150.0,CORRECTIONAL OFFICER,0142-WORKFORCE DEVELOPMENT
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",160.0,PARK RANGER,0017-EXPLOSIVES SAFETY
138.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",170.0,COMMUNITY PLANNING,0023-OUTDOOR RECREATION PLANNING
186.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",180.0,COMMUNITY PLANNING TECHNICIAN,0023-OUTDOOR RECREATION PLANNING
177.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",181.0,CLOTHING DESIGN,0007-CORRECTIONAL OFFICER
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFAR EGROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",184.0,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0029-ENVIRONMENTAL PROTECTION ASSISTANT
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",185.0,FIRE PROTECTION AND PREVENTION,0011-BOND SALES PROMOTION SERIES
146.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",186.0,SAFETY TECHNICIAN,0131-INTERNATIONAL RELATIONS
175.0,"SOCIAL SCIECNE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",187.0,SOCIAL SERVICES,0023-OUTDOOR RECREATION PLANNING
188.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",188.0,RECREATION SPECIALIST,0021-COMMUNITY PLANNING TECHNICIAN
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",3883.0,RECREATION AID AND ASSISTANT,0084-NUCLEAR MATERIALS COURIER
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP***",190.0,GENERAL ANTHROPOLOGY,0190-GENERAL ANTHROPOLOGY
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",193.0,ARCHEOLOGY,z0193-ARCHEOLOGY
132.0,"SOCIAL SCIENC,E PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",199.0,SOCIAL SCIENCE STUDENT TRAINEE,0199-SOCIAL SCIENCE STUDENT TRAINEE
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,201.0,HUMAN RESOURCES MANAGEMENT,0201-HUMAN RESOURCES MANAGEMENT
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,203.0,HUMAN RESOURCES ASSISTANCE,0203-HUMAN RESOURCES ASSISTANCE
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RSOURCES MANAGEMENT GROUP,241.0,MEDIATION,0241-MEDIATION
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,243.0,APPRENTICSHIP AND TRAINING,024-APPRENTICESHIP AND TRAINING
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMNT GROUP,244.0,LABOR,0244-LABOR-MANAGEMENT RELATIONS EXAsMINING
200.0,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,260.0,EQUAL EMPLOYMENT OPPORTUNITY,0260-EQUAL EMPLOYMENT OPPORTUNITY
200.0,HUMAN RESOURCES MANAGEMENT GROUP,020t0-HUMAN RESOURCES MANAGEMENT GROUP,299.0,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,0299-HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",301.0,MISCELLANEOUS ADMINISTRATION AND PROGRAM,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",302.0,MESSENGER,0302-MEtSSENGER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",303.0,MISCELLANEOUS CLERK AND ASSISTANT,0303-MISCELLANEOUS CLERK AND ASSISTANT
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GNERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",304.0,INFORMATION RECEPTIONIST,0304-INFORMATION RECEPTIONIST
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",305.0,MAIL AND FILE,0305-MAIL AND FILE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICESGROUP",306.0,GOVERNMENT INFORMATION SPECIALIST,0306-GOVERNMENT INFORMATION SPECIALIST
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, LERICAL, AND OFFICE SERVICES GROUP",309.0,CORRESPONDENCE CLERK,0309-CORRESPONDENCE CLERK
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",313.0,WORK UNIT SUPERVISING,0313-WORK UNIT SUPERzVISING
300.0,"ENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, NAD OFFICE SERVICES GROUP",318.0,SECRETARY,031-8SECRETARY
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GlROUP",319.0,CLOSED MICROPHONE REPORTER,0319-CLOSED MICROPHONE REPORTER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL,AND OFFICE SERVICES GROUP",322.0,CLERK,0322-CLERK-TYPIST
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVInCES GROUP",3750.0,OFFICE AUTOMATION CLERICAL AND ASSISTANCE,0326-OFFICE AUTOMATION CLERICAL AND ASSISTANCE
-1006.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",332.0,COMPUTER OPERATION,0332-COMPUTER OPERATION
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERA ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",335.0,COMPUTER CLERK AND ASSISTANT,0335-COMPUTER CLERK AND ASSISTANT
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINlISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",340.0,PROGRAM MANAGEMENT,0340-PROGRAM MANAGEMENT
300.0,"GENERAL ADMINIeSTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROPU",341.0,ADMINISTRATIVE OFFICER,0341-ADMINISTRATIVE OFFICER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINgISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",342.0,SUPPORT SERVCES ADMINISTRATION,0342-SUPPORT SERVICES ADMINISTRATION
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERA LADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",343.0,MNAGEMENT AND PROGRAM ANALYSIS,0343-MANAGEMENT AND PROGRAM ANALYSIS
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","030c0-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",344.0,MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE,0344-MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE
300.0,"GENERAL ADMIISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",346.0,LOGISTICS MANAGEMENT,0346-LOGISTICS MANAGEMENT
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP***",347.0,GAO EVALUATOR,0347-GAO EVALUATOR
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, ANDOFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICLA, AND OFFICE SERVICES GROUP",350.0,EQUIPMENT OPERATOR,0350-EQUIPMENT OPERATOR
3074.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, ANDO FFICE SERVICES GROUP",356.0,DATA TRANSCIRBER,0356-DATA TRANSCRIBER
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, LERICAL, AND OFFICE SERVICES GROUP",357.0,CODING,0357-CODING
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERIcCAL, AND OFFICE SERVICES GROUP",360.0,EQUAL OPPORTUNITY COMPLIANCE,0360-EQUAL OPPORTUNITY COMPLIANCE
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFIE SERVICES GROUP","030-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",361.0,EQUAL OPPORTUNITY ASSISTANCE,0361-EQUAL OPPORTUNITY ASSSITANCE
4074.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIE, CLERICAL, AND OFFICE SERVICES GROUP",382.0,TELEPHONE OPERATING,0382-TELEPHONE OPERATING
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE CLERICAL, AND OFFICE SERVICES GROUP",3413.0,TELECMMUNICATIONS PROCESSING,0390-TELECOMMUNICATIONS PROCESSING
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENRAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",391.0,TELECOMMUNICATIONS,0391-TELECOMMUNICATIONS
300.0,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GORUP",392.0,GENERAL TELECOMMUNICATIONS,0392-GENERAL TELECOMMUNICATIONS
