OBJECTID,GEOID10,DistrictName,FreeEligible,ReducedEligible,NotEligible,Total,FreeReducedEligible,PCT_Free,PCT_Reduced,PCT_FreeReduced,Shape__Area,Shape__Length
1,2601920,Addison Community Schools,410,72,367,849,482,0.482921083627797,0.0848056537102474,0.567726737338045,2086111291.05432,388829.899328688
2,2601950,Adrian City School District,1488,206,1018,2712,1694,0.548672566371681,0.0759587020648968,0.624631268436578,1929500283.46033,478469.932480884
3,2601980,Airport Community School District,1172,141,1300,2613,1313,0.448526597780329,0.0539609644087256,0.502487562189055,2318119546.21265,335503.307432365
4,2602010,Akron-Fairgrove Schools,98,15,32,145,113,0.675862068965517,0.103448275862069,0.779310344827586,2569049690.26563,460145.999420713
5,2621810,Alanson Public Schools,145,20,65,230,165,0.630434782608696,0.0869565217391304,0.717391304347826,1172731539.74219,201057.964023235
6,2602040,Alba Public Schools,83,14,27,124,97,0.669354838709677,0.112903225806452,0.782258064516129,1849303197.05371,299585.285400198
7,2602070,Albion Public Schools,381,13,91,485,394,0.785567010309278,0.0268041237113402,0.812371134020619,1818229772.17847,335549.481766602
8,2602190,Algonac Community School District,593,104,834,1531,697,0.387328543435663,0.0679294578706728,0.455258001306336,1300048700.47412,765398.458769249
9,2602220,Allegan Public Schools,1317,224,1162,2703,1541,0.487236403995561,0.0828708842027377,0.570107288198298,4356295765.6936,505583.714756845
10,2602520,Allen Park Public Schools,1218,181,2421,3820,1399,0.318848167539267,0.0473821989528796,0.366230366492147,104285689.932861,53493.4843844254
11,2602550,Allendale Public School District,861,154,2026,3041,1015,0.28313054916146,0.0506412364353831,0.333771785596843,891182785.916992,134338.567183624
12,2602640,Alma Public Schools,1135,92,891,2118,1227,0.535882908404155,0.0434372049102927,0.579320113314448,2842725137.98926,357916.854403598
13,2602670,Almont Community Schools,333,66,1092,1491,399,0.223340040241449,0.0442655935613682,0.267605633802817,1607389644.67139,314704.487082679
14,2602730,Alpena Public Schools,1820,292,1742,3854,2112,0.47223663725999,0.0757654385054489,0.548002075765438,16896884267.4561,1168154.32774196
15,2602790,Anchor Bay School District,1277,215,4353,5845,1492,0.218477331052181,0.0367835757057314,0.255260906757913,798715847.663086,173903.174623414
16,2602820,Ann Arbor Public Schools,5238,493,14067,19798,5731,0.264572179007981,0.0249015052025457,0.289473684210526,2890793260.70996,382787.356735718
17,2603240,Armada Area Schools,305,61,1446,1812,366,0.16832229580574,0.0336644591611479,0.201986754966887,2066122221.25684,281163.455512986
18,2603510,Athens Area Schools,218,22,316,556,240,0.392086330935252,0.039568345323741,0.431654676258993,2076681618.43262,317662.456144766
19,2603540,Atherton Community Schools,1284,65,244,1593,1349,0.806026365348399,0.0408035153797866,0.846829880728186,253805015.45459,111056.943652144
20,2603600,Au Gres-Sims School District,47,5,33,85,52,0.552941176470588,0.0588235294117647,0.611764705882353,1947172617.04688,421261.1286816
21,2603690,Avondale School District,1292,161,2002,3455,1453,0.373950795947902,0.0465991316931983,0.4205499276411,339563841.044434,130655.698696892
22,2600017,Bad Axe Public Schools,427,82,474,983,509,0.434384537131231,0.0834181078331638,0.517802644964395,2505657092.64941,552046.519164707
23,2603810,Baldwin Community Schools,496,14,25,535,510,0.927102803738318,0.0261682242990654,0.953271028037383,10301378298.7813,721147.998950935
24,2603870,Bangor Public Schools,939,52,241,1232,991,0.762175324675325,0.0422077922077922,0.804383116883117,2399007948.67188,502292.507948118
25,2603900,Bangor Township Schools,1309,185,1099,2593,1494,0.504820671037408,0.0713459313536444,0.576166602391053,420227392.847656,133562.432421445
26,2604020,Bark River-Harris School District,160,4,23,187,164,0.855614973262032,0.0213903743315508,0.877005347593583,4959036004.61914,416677.934379759
27,2604170,Bath Community Schools,202,36,371,609,238,0.331691297208539,0.0591133004926108,0.390804597701149,1154451394.3667,236851.031185088
28,2600005,Battle Creek Public Schools,4164,260,1034,5458,4424,0.762916819347746,0.047636496885306,0.810553316233052,1173680232.59155,283266.181310086
29,2604260,Bay City School District,3969,491,3772,8232,4460,0.482142857142857,0.059645286686103,0.54178814382896,6477441183.7998,617482.232559632
30,2604320,Bear Lake School District,142,13,117,272,155,0.522058823529412,0.0477941176470588,0.569852941176471,1517891586.79492,223673.043995948
31,2604350,Beaver Island Community School,12,6,28,46,18,0.260869565217391,0.130434782608696,0.391304347826087,2085283299.12305,596205.1023392
32,2604470,Bedford Public Schools,935,153,3385,4473,1088,0.20903196959535,0.03420523138833,0.24323720098368,1108121273.828,151051.82487934
33,2604500,Beecher Community School District,699,12,94,805,711,0.86832298136646,0.0149068322981366,0.883229813664596,140385420.47168,52974.7573558906
34,2604530,Belding Area School District,1001,162,729,1892,1163,0.529069767441861,0.0856236786469345,0.614693446088795,2816561933.81006,363894.991577213
35,2604620,Bellaire Public Schools,154,19,208,381,173,0.404199475065617,0.0498687664041995,0.454068241469816,2090469578.75195,208530.834374982
36,2604650,Bellevue Community Schools,343,28,229,600,371,0.571666666666667,0.0466666666666667,0.618333333333333,2344411514.07837,415749.298211574
37,2604740,Bendle Public Schools,998,100,88,1186,1098,0.841483979763912,0.0843170320404722,0.925801011804384,57786227.6269531,32223.2237675098
38,2604800,Bentley Community Schools,561,63,194,818,624,0.685819070904645,0.0770171149144254,0.762836185819071,152064364.110352,57940.7038052271
39,2604830,Benton Harbor Area Schools,2943,71,569,3583,3014,0.821378732905387,0.0198157968183087,0.841194529723695,1639525968.18628,255428.334200392
40,2604950,Benzie County Central Schools,415,53,295,763,468,0.543905635648755,0.0694626474442988,0.613368283093054,9798574127.43359,623873.165851964
41,2605010,Berkley School District,735,113,3439,4287,848,0.171448565430371,0.026358759038955,0.197807324469326,133879444.727051,56237.4203140813
42,2605430,Berrien Springs Public Schools,377,26,188,591,403,0.637901861252115,0.0439932318104907,0.681895093062606,1640615983.37354,263713.895377127
43,2600006,Bessemer Area School District,226,12,180,418,238,0.54066985645933,0.0287081339712919,0.569377990430622,3372669361.29102,350606.656649328
44,2605690,Big Bay De Noc School District,95,14,57,166,109,0.572289156626506,0.0843373493975904,0.656626506024096,14196559689.5449,1083355.14724361
45,2605780,Big Rapids Public Schools,1207,188,1295,2690,1395,0.448698884758364,0.0698884758364312,0.518587360594795,3752625371.36035,502917.137869157
46,2605820,Birch Run Area School District,818,124,961,1903,942,0.429847609038361,0.0651602732527588,0.495007882291119,1791771386.4458,223927.959613437
47,2605850,Birmingham City School District,636,75,7330,8041,711,0.079094639970153,0.00932719810968785,0.0884218380798408,687631120.34375,212400.162867093
48,2606000,Blissfield Community Schools,374,49,770,1193,423,0.31349538977368,0.0410729253981559,0.354568315171836,3340351456.55597,362178.909173449
49,2606090,Bloomfield Hills School District,723,88,6190,7001,811,0.103270961291244,0.0125696329095843,0.115840594200828,702119517.209961,196639.593894639
50,2606500,Boyne City Public Schools,527,137,707,1371,664,0.384390955506929,0.099927060539752,0.484318016046681,2757581610.39355,411134.905162411
51,2606510,Boyne Falls Public School District,46,18,74,138,64,0.333333333333333,0.130434782608696,0.463768115942029,1518129473.1709,220931.708445968
52,2606570,Brandon School District,854,86,1525,2465,940,0.346450304259635,0.0348884381338742,0.381338742393509,1544970094.53223,281030.934042032
53,2606600,Brandywine Community Schools,758,104,524,1386,862,0.546897546897547,0.075036075036075,0.621933621933622,523866350.402466,136928.857934897
54,2606720,Breitung Township Schools,737,123,1045,1905,860,0.386876640419948,0.0645669291338583,0.451443569553806,2034581946.80859,320644.534978201
55,2606780,Bridgeport-Spaulding Community School District,1429,45,268,1742,1474,0.820321469575201,0.0258323765786452,0.846153846153846,1735257378.0166,207362.859036927
56,2606840,Bridgman Public Schools,289,64,520,873,353,0.331042382588774,0.0733104238258877,0.404352806414662,546515144.017944,128380.550665704
57,2606870,Brighton Area Schools,901,164,5802,6867,1065,0.131207222950342,0.0238823358089413,0.155089558759284,1604953792.04297,254654.001374691
58,2606900,Brimley Area Schools,326,76,214,616,402,0.529220779220779,0.123376623376623,0.652597402597403,8281314049.93164,561252.327195782
59,2606930,Britton-Macon Area School District,218,44,288,550,262,0.396363636363636,0.08,0.476363636363636,1466109343.67102,299415.644364618
60,2606960,Bronson Community School District,534,99,423,1056,633,0.505681818181818,0.09375,0.599431818181818,4231242302.00061,370502.489073446
61,2607040,Brown City Community Schools,405,83,342,830,488,0.487951807228916,0.1,0.587951807228916,3161284137.04395,393563.845390536
62,2607140,Buchanan Community Schools,737,119,718,1574,856,0.468233799237611,0.0756035578144854,0.543837357052097,1428266847.53345,226321.474201234
63,2607170,Buckley Community School District,175,39,199,413,214,0.423728813559322,0.0944309927360775,0.518159806295399,1984417924.04395,311118.178079427
64,2607320,Bullock Creek School District,755,87,974,1816,842,0.415748898678414,0.0479074889867841,0.463656387665198,2117120514.5625,376660.078795881
65,2607530,Byron Area Schools,305,49,545,899,354,0.339265850945495,0.0545050055617353,0.39377085650723,2018707268.98926,398844.041758671
66,2607560,Byron Center Public Schools,873,212,3106,4191,1085,0.208303507516106,0.0505845860176569,0.258888093533763,1134582162.78418,178810.618665959
67,2607590,Cadillac Area Public Schools,1650,244,1333,3227,1894,0.511310814998451,0.075612023551286,0.586922838549737,7069347298.66113,714382.686247115
68,2607620,Caledonia Community Schools,1018,318,4829,6165,1336,0.165125709651257,0.0515815085158151,0.216707218167072,2627995398.98877,417109.430290321
69,2607690,Public Schools of Calumet,723,128,687,1538,851,0.470091027308192,0.0832249674902471,0.55331599479844,11771532696.2676,2336644.50421921
70,2607800,Capac Community School District,390,51,464,905,441,0.430939226519337,0.056353591160221,0.487292817679558,2976269861.60547,389273.579599268
71,2607890,Carman-Ainsworth Community Schools,4160,309,1267,5736,4469,0.725244072524407,0.0538702928870293,0.779114365411437,744510428.126953,248917.732550138
72,2608040,Caro Community Schools,987,134,717,1838,1121,0.536996735582155,0.072905331882481,0.609902067464635,3280250324.29297,535504.330298815
73,2608070,Carrollton School District,335,72,137,544,407,0.615808823529412,0.132352941176471,0.748161764705882,97992658.59375,46771.2086883727
74,2608130,Carson City-Crystal Area Schools,38,1,7,46,39,0.826086956521739,0.0217391304347826,0.847826086956522,4254825058.23779,588295.0575428
75,2608160,Carsonville-Port Sanilac School District,213,41,122,376,254,0.566489361702128,0.109042553191489,0.675531914893617,2245716146.73633,363636.109445032
76,2608400,Cass City Public Schools,384,87,497,968,471,0.396694214876033,0.0898760330578512,0.486570247933884,5489476183.62598,723171.285682514
77,2608430,Cassopolis Public Schools,556,73,322,951,629,0.584647739221872,0.0767613038906414,0.661409043112513,3609539808.44141,385768.283755973
78,2608520,Cedar Springs Public Schools,1367,265,2162,3794,1632,0.360305745914602,0.069847127042699,0.430152872957301,3132547439.39795,483743.986746365
79,2608580,Center Line Public Schools,1783,188,635,2606,1971,0.684190330007675,0.0721412125863392,0.756331542594014,141971108.366211,67944.7250604179
80,2608610,Central Lake Public Schools,149,23,109,281,172,0.530249110320285,0.0818505338078292,0.612099644128114,1742765632.2002,244826.779304066
81,2608640,Central Montcalm Public Schools,745,110,500,1355,855,0.549815498154982,0.0811808118081181,0.6309963099631,4182797465.55518,597714.801668707
82,2608670,Centreville Public Schools,66,5,33,104,71,0.634615384615385,0.0480769230769231,0.682692307692308,1742324966.81519,456076.626515779
83,2608730,Charlevoix Public Schools,472,71,593,1136,543,0.415492957746479,0.0625,0.477992957746479,2562915836.52246,333858.146501283
84,2608770,Charlotte Public Schools,1015,111,1499,2625,1126,0.386666666666667,0.0422857142857143,0.428952380952381,3663693581.68311,742302.567374653
85,2608910,Cheboygan Area Schools,850,120,621,1591,970,0.534255185417976,0.0754242614707731,0.609679446888749,7545223194.90625,545629.903274443
86,2608940,Chelsea School District,261,29,2132,2422,290,0.107762180016515,0.0119735755573906,0.119735755573906,3507136583.78955,375780.865204708
87,2609150,Chesaning Union Schools,657,101,654,1412,758,0.465297450424929,0.0715297450424929,0.536827195467422,4565554348.18457,609091.344399394
88,2609560,Chippewa Hills School District,965,136,679,1780,1101,0.542134831460674,0.0764044943820225,0.618539325842697,10265872422.9434,860110.151780817
89,2609570,Chippewa Valley Schools,4444,617,11569,16630,5061,0.267227901383043,0.0371016235718581,0.304329524954901,770186473.4375,161533.504724881
90,2609750,Clare Public Schools,720,111,838,1669,831,0.431396045536249,0.0665068903535051,0.497902935889754,3492938433.2959,465159.475165829
91,2609840,Clarenceville School District,1317,167,1052,2536,1484,0.519321766561514,0.0658517350157729,0.585173501577287,103172248.070313,52368.1933185229
92,2609900,Clarkston Community School District,1337,184,5934,7455,1521,0.179342723004695,0.0246814218645205,0.204024144869215,1621567285.17285,226269.632119853
93,2609930,Clawson Public Schools,554,83,968,1605,637,0.345171339563863,0.0517133956386293,0.396884735202492,61624952.1835938,37487.4185494363
94,2610020,Climax-Scotts Community Schools,205,66,224,495,271,0.414141414141414,0.133333333333333,0.547474747474747,1707064545.64063,241962.327892922
95,2610050,Clinton Community Schools,304,60,737,1101,364,0.276112624886467,0.0544959128065395,0.330608537693006,1496393607.46655,374382.657110217
96,2610080,Clintondale Community Schools,1563,97,506,2166,1660,0.721606648199446,0.0447830101569714,0.766389658356417,108233981.798828,48065.3382324247
97,2610110,Clio Area School District,1396,247,1419,3062,1643,0.455911169170477,0.0806662312214239,0.536577400391901,1653476314.74023,317901.321866196
98,2610140,Coldwater Community Schools,1983,185,1314,3482,2168,0.569500287191269,0.053130384836301,0.62263067202757,4019299147.11401,536723.108533492
99,2610200,Coleman Community School District,141,24,141,306,165,0.46078431372549,0.0784313725490196,0.53921568627451,3222882907.53613,331975.966732576
100,2610380,Coloma Community Schools,895,103,383,1381,998,0.648081100651702,0.0745836350470673,0.722664735698769,1194825569.33813,239601.205769039
101,2610410,Colon Community School District,279,25,256,560,304,0.498214285714286,0.0446428571428571,0.542857142857143,2834233286.14514,525724.639178682
102,2606990,Columbia School District,585,63,779,1427,648,0.409950946040645,0.0441485634197617,0.454099509460406,2507161073.8418,459292.37332433
103,2610590,Comstock Public Schools,1187,37,797,2021,1224,0.587333003463632,0.0183077684314696,0.605640771895101,718865810.452881,186405.784848202
104,2610620,Comstock Park Public Schools,724,198,1275,2197,922,0.329540282203004,0.0901228948566227,0.419663177059627,277623527.600098,126770.027174074
105,2610750,Constantine Public School District,669,138,633,1440,807,0.464583333333333,0.0958333333333333,0.560416666666667,2733933442.49585,612233.883751675
106,2610830,Coopersville Area Public School District,869,192,1598,2659,1061,0.326814591951862,0.0722075968409176,0.399022188792779,3064292235.04004,477502.234206848
107,2610860,Corunna Public School District,771,126,776,1673,897,0.460848774656306,0.0753138075313808,0.536162582187687,2812730940.85449,556464.612380855
108,2610980,Covert Public Schools,326,12,13,351,338,0.928774928774929,0.0341880341880342,0.962962962962963,1025569481.33105,167640.052895427
109,2611030,Crawford AuSable Schools,885,94,675,1654,979,0.535066505441354,0.0568319226118501,0.591898428053204,12655358355.5635,599277.386118837
110,2600016,Crestwood School District,4230,252,1095,5577,4482,0.758472296933835,0.0451855836471221,0.803657880580958,151476324.071777,55909.8072647478
111,2611140,Croswell-Lexington Community Schools,953,186,1014,2153,1139,0.442638179284719,0.0863910822108686,0.529029261495588,4673637677.80225,541797.204943077
112,2611430,Davison Community Schools,2101,399,3278,5778,2500,0.36362062997577,0.069055036344756,0.432675666320526,1705866556.73486,262772.110893879
113,2611600,Dearborn City School District,18870,900,5190,24960,19770,0.756009615384615,0.0360576923076923,0.792067307692308,743970534.207764,168575.668720676
114,2611610,Dearborn Heights School District #7,1687,161,644,2492,1848,0.676966292134832,0.0646067415730337,0.741573033707865,60957003.8598633,35274.2500524831
115,2611670,Decatur Public Schools,434,63,272,769,497,0.564369310793238,0.081924577373212,0.64629388816645,2266829112.25537,414746.317785041
116,2611700,Deckerville Community School District,340,48,194,582,388,0.584192439862543,0.0824742268041237,0.666666666666667,4897328239.4248,465401.502863223
117,2611910,Delton-Kellogg School District,597,81,612,1290,678,0.462790697674419,0.0627906976744186,0.525581395348837,3262146934.09155,565118.6791652
118,2611970,DeTour Area Schools,50,7,26,83,57,0.602409638554217,0.0843373493975904,0.686746987951807,10268396774.2695,980882.352921956
119,2612000,Detroit City School District,74205,1849,10490,86544,76054,0.857425124792013,0.0213648548715104,0.878789979663524,3988333780.8313,431890.044521322
120,2611550,DeWitt Public Schools,43,3,206,252,46,0.170634920634921,0.0119047619047619,0.182539682539683,512131416.007324,169590.472843377
121,2612030,Dexter Community School District,343,41,3230,3614,384,0.0949086884338683,0.0113447703375761,0.106253458771444,2345257434.32983,356148.917494971
122,2601890,Adams Township School District,,,,,,,,,2335145419.62891,372236.508200235
123,2602160,Alcona Community Schools,,,,,,,,,11083460315.8037,562474.205808738
124,2603060,Arenac Eastern School District,,,,,,,,,2457892030.43555,356651.280242934
125,2603270,Arvon Township School District,,,,,,,,,3496089473.87891,395731.370838547
126,2603480,Ashley Community Schools,,,,,,,,,1674741765.91113,526471.967717398
127,2603570,Atlanta Community Schools,,,,,,,,,5394763150.83691,434920.007819814
128,2603660,AuTrain-Onota Public Schools,,,,,,,,,4387029924.90234,430554.347120397
129,2603960,Bangor Township S/D #8,,,,,,,,,112992874.312744,113101.642469852
130,2603990,Baraga Area Schools,,,,,,,,,5820542411.69531,397636.248478647
131,2604290,Beal City Public Schools,,,,,,,,,1329118312.26855,480620.601461389
132,2604440,Beaverton Rural Schools,,,,,,,,,6267975433.65723,535844.662735019
133,2605100,Berlin Township S/D #3,,,,,,,,,169751089.578613,74914.8534297412
134,2600105,Big Jackson School District,,,,,,,,,1658292846.99902,225703.957943909
135,2600009,Bloomfield Township S/D #7F,,,,,,,,,455961764.766602,165155.349204285
136,2606270,Bloomingdale Public School District,,,,,,,,,2542243996.96729,431066.842444342
137,2606300,Bois Blanc Pines School District,,,,,,,,,1033453010.09961,193656.976057562
138,2606630,Breckenridge Community Schools,,,,,,,,,3609434934.45117,564264.158900396
139,2607230,Buena Vista School District,,,,,,,,,621639755.203125,171957.481934704
140,2607410,Burr Oak Community School District,,,,,,,,,719167537.090332,204937.763385181
141,2607470,Burt Township School District,,,,,,,,,6682996158.39063,371213.336507844
142,2607710,Camden-Frontier Schools,,,,,,,,,2672555928.10529,431745.264522973
143,2608010,Carney-Nadeau Public Schools,,,,,,,,,3063418614.24805,292755.115974308
144,2608280,Caseville Public Schools,,,,,,,,,268034165.518555,258589.923967165
145,2608880,Chassell Township School District,,,,,,,,,1448441234.01172,153774.965839267
146,2609630,Church School District,,,,,,,,,214868369.660156,87070.3081313471
147,2610230,Colfax Township S/D #1F,,,,,,,,,155354292.423828,62992.1765126733
148,2610650,Concord Community Schools,,,,,,,,,1949014036.27002,394284.692530611
149,2611400,Dansville Schools,,,,,,,,,2450062837.47852,331326.543572757
150,2611730,Deerfield Public Schools,,,,,,,,,781549597.348267,198336.131301362
151,2626940,Dollar Bay-Tamarack City Area Schools,,,,,,,,,880312118.419922,152435.469876543
152,2612150,Dowagiac Union School District,1569,179,532,2280,1748,0.688157894736842,0.0785087719298246,0.766666666666667,3360894059.11426,424324.745015546
153,2612240,Dryden Community Schools,158,39,291,488,197,0.323770491803279,0.0799180327868853,0.403688524590164,979576704.460449,216890.055141105
154,2612300,Dundee Community Schools,515,81,1021,1617,596,0.318491032776747,0.0500927643784787,0.368583797155226,2040120563.51416,302220.330671617
155,2612330,Durand Area Schools,638,120,608,1366,758,0.46705710102489,0.0878477306002928,0.554904831625183,1781520064.81396,322587.08116087
156,2612420,East China School District,1135,173,2788,4096,1308,0.277099609375,0.042236328125,0.3193359375,3618799549.86084,373952.708031743
157,2612450,East Detroit Public Schools,3129,133,611,3873,3262,0.807900852052672,0.0343403046733798,0.842241156726052,169984743.180176,56592.7556442492
158,2612480,East Grand Rapids Public Schools,170,24,2705,2899,194,0.0586409106588479,0.00827871679889617,0.066919627457744,102962240.157227,47587.2440493738
159,2612540,East Jackson Community Schools,607,57,290,954,664,0.636268343815514,0.059748427672956,0.69601677148847,983174309.005371,230778.124645592
160,2612600,East Lansing School District,1094,186,2306,3586,1280,0.305075292805354,0.0518683770217513,0.356943669827105,398074690.16748,146663.052585621
161,2612690,Eaton Rapids Public Schools,1102,256,1189,2547,1358,0.432665881429132,0.10051040439733,0.533176285826462,3338364622.32935,592670.852759989
162,2612810,Eau Claire Public Schools,721,30,85,836,751,0.86244019138756,0.0358851674641148,0.898325358851675,1394159132.86206,249264.504169601
163,2612930,Ecorse Public School District,834,7,195,1036,841,0.805019305019305,0.00675675675675676,0.811776061776062,98592179.3164063,44376.1937638766
164,2612990,Edwardsburg Public Schools,732,159,1843,2734,891,0.267739575713241,0.0581565471836138,0.325896122896854,1782803599.95203,246123.635246974
165,2613050,Elk Rapids Schools,399,60,1059,1518,459,0.262845849802372,0.0395256916996047,0.302371541501976,3606272476.92871,404900.886890633
166,2613090,Elkton-Pigeon-Bay Port Laker Schools,393,61,458,912,454,0.430921052631579,0.0668859649122807,0.49780701754386,5507426202.37695,866577.369416539
167,2613110,Ellsworth Community School,128,22,115,265,150,0.483018867924528,0.0830188679245283,0.566037735849057,1274800744.2207,178213.223543151
168,2615600,Engadine Consolidated Schools,111,32,92,235,143,0.472340425531915,0.136170212765957,0.608510638297872,12477570023.3555,725232.961012307
169,2613500,Escanaba Area Public Schools,1178,175,1183,2536,1353,0.464511041009464,0.069006309148265,0.533517350157729,5082519739.88086,638033.781660259
170,2613530,Essexville-Hampton Public Schools,697,62,1115,1874,759,0.371931696905016,0.0330843116328709,0.405016008537887,539557365.883789,219726.359559102
171,2613560,Evart Public Schools,652,42,277,971,694,0.671472708547889,0.043254376930999,0.714727085478888,5599658669.13672,593131.658940606
172,2600014,Ewen-Trout Creek Consolidated School District,106,16,82,204,122,0.519607843137255,0.0784313725490196,0.598039215686274,19278740961.5449,768256.544990516
173,2610560,Fairview Area School District,188,39,73,300,227,0.626666666666667,0.13,0.756666666666667,8992755371.89063,506365.305221818
174,2614070,Farmington Public School District,2150,330,6736,9216,2480,0.233289930555556,0.0358072916666667,0.269097222222222,967820214.0625,135321.107592878
175,2614100,Farwell Area Schools,767,79,391,1237,846,0.620048504446241,0.0638641875505255,0.683912691996766,5149018504.37793,515199.47178402
176,2614230,Fennville Public Schools,273,68,99,440,341,0.620454545454545,0.154545454545455,0.775,3181103953.11865,343026.955125302
177,2614250,Fenton Area Public Schools,831,164,2412,3407,995,0.243909597886704,0.0481361901966539,0.292045788083358,1041418904.48779,185073.889491848
178,2614280,Ferndale Public Schools,1661,185,1093,2939,1846,0.56515821708064,0.0629465804695475,0.628104797550187,129272816.964355,51485.9784687593
179,2614460,Fitzgerald Public Schools,2850,174,397,3421,3024,0.833089739842151,0.050862320958784,0.883952060800935,128430304.734863,52755.477991058
180,2607080,Flat Rock Community Schools,1001,82,1281,2364,1083,0.423434856175973,0.0346869712351946,0.458121827411168,210915938.151611,103094.028538825
181,2614520,Flint City School District,6422,119,545,7086,6541,0.906294101044313,0.0167936776742873,0.9230877787186,848422123.286621,139537.502521629
182,2614550,Flushing Community Schools,1631,271,2387,4289,1902,0.380275122406155,0.0631848915831196,0.443460013989275,1525148433.93311,215760.062488125
183,2614570,Forest Area Community Schools,319,42,148,509,361,0.62671905697446,0.0825147347740668,0.709233791748527,3219954027.75977,394586.902642821
