geo_id_tract,CountOfPARID
42003010300,202
42003020100,190
42003020300,179
42003030500,647
42003040200,326
42003040400,18
42003040500,48
42003040600,24
42003040900,423
42003050100,1119
42003050600,437
42003050900,134
42003051000,51
42003060300,192
42003060500,316
42003070300,18
42003070500,75
42003070600,11
42003070800,36
42003070900,75
42003080200,122
42003080400,53
42003080600,10
42003080700,6
42003080900,32
42003090100,77
42003090200,32
42003090300,30
42003100500,29
42003101100,193
42003101400,174
42003101600,325
42003101700,371
42003101800,257
42003110200,45
42003110600,21
42003111300,60
42003111400,161
42003111500,109
42003120300,452
42003120400,566
42003120700,351
42003120800,337
42003130100,906
42003130200,357
42003130300,353
42003130400,526
42003130600,590
42003140100,36
42003140200,43
42003140300,41
42003140400,31
42003140500,66
42003140600,37
42003140800,41
42003141000,5
42003141100,143
42003141300,49
42003141400,189
42003151600,256
42003151700,129
42003160800,421
42003160900,124
42003170200,212
42003170600,432
42003180300,478
42003180700,98
42003190300,81
42003191100,622
42003191400,272
42003191500,141
42003191600,555
42003191700,231
42003191800,121
42003191900,52
42003192000,282
42003202200,179
42003202300,164
42003210700,543
42003220600,150
42003240600,193
42003241200,290
42003250300,275
42003250700,548
42003250900,430
42003260200,443
42003260700,143
42003260900,60
42003261200,117
42003261400,1101
42003261500,370
42003262000,546
42003270100,112
42003270300,124
42003270400,93
42003270800,188
42003271500,475
42003281400,298
42003281500,231
42003290100,189
42003290200,229
42003290400,185
42003300100,228
42003310200,209
42003310300,659
42003320400,168
42003320600,288
42003320700,233
42003401100,400
42003401200,206
42003401300,157
42003402000,152
42003403500,314
42003404000,207
42003405000,371
42003406000,363
42003407001,523
42003407002,378
42003408001,991
42003408002,182
42003409000,616
42003410000,55
42003411000,491
42003412001,258
42003412002,159
42003413100,229
42003413201,173
42003413202,84
42003413300,186
42003413400,53
42003413500,77
42003414101,158
42003414102,564
42003414200,422
42003415001,362
42003415002,153
42003416000,155
42003417100,55
42003417200,102
42003418000,52
42003419000,216
42003420000,57
42003421100,272
42003421200,264
42003422000,231
42003423000,39
42003424000,183
42003425000,220
42003426300,113
42003426400,189
42003426700,274
42003426800,102
42003427000,323
42003427100,166
42003427200,310
42003428100,126
42003428200,209
42003429100,208
42003429201,112
42003429202,97
42003429300,496
42003429400,156
42003429500,80
42003429600,175
42003429700,288
42003430100,215
42003430200,243
42003431100,90
42003431400,68
42003431500,60
42003432300,137
42003432400,58
42003434000,87
42003435000,205
42003437000,274
42003439000,179
42003445500,135
42003446000,56
42003447000,115
42003448000,144
42003449000,259
42003450700,225
42003450800,148
42003451101,158
42003451102,86
42003451104,128
42003451105,176
42003451300,435
42003452000,519
42003453003,167
42003453004,208
42003455000,143
42003456001,362
42003456003,570
42003456004,146
42003457100,115
42003457200,170
42003458000,912
42003459101,241
42003459102,149
42003459201,409
42003460001,241
42003460002,201
42003461000,151
42003462100,370
42003462600,260
42003463900,149
42003464300,217
42003464400,366
42003465600,97
42003465800,232
42003468700,217
42003468800,139
42003468900,99
42003469000,231
42003470300,114
42003470400,84
42003470501,20
42003470502,111
42003470600,192
42003471000,113
42003472100,37
42003472200,14
42003472300,8
42003472400,14
42003473100,24
42003473200,24
42003473300,138
42003473401,100
42003473402,46
42003473500,78
42003473601,42
42003473602,64
42003474101,149
42003474102,93
42003474201,67
42003474202,92
42003474203,120
42003475101,100
42003475102,52
42003475200,93
42003475301,130
42003475303,70
42003475304,74
42003475401,106
42003475402,25
42003476100,153
42003476200,100
42003477100,44
42003477200,104
42003477300,86
42003478100,51
42003478200,120
42003479000,72
42003480101,91
42003480102,67
42003480200,106
42003480300,174
42003480400,170
42003481000,132
42003482500,325
42003483800,343
42003484300,232
42003484500,135
42003484600,92
42003485000,159
42003486700,315
42003486800,289
42003486900,543
42003487000,184
42003488100,327
42003488200,191
42003488300,169
42003488400,226
42003488500,168
42003488600,284
42003489001,121
42003489002,48
42003490002,920
42003490003,138
42003490004,149
42003491101,429
42003491200,253
42003492700,544
42003492800,727
42003492900,138
42003494000,146
42003495000,625
42003496101,258
42003496102,640
42003496200,409
42003497000,237
42003498000,203
42003499300,271
42003499400,232
42003500300,324
42003501000,127
42003503002,384
42003504100,1179
42003507000,292
42003508000,131
42003509400,585
42003510000,168
42003512000,416
42003512800,391
42003512900,363
42003513800,911
42003514000,280
42003515100,219
42003515200,113
42003515300,122
42003515401,33
42003516100,49
42003516200,34
42003517000,400
42003518001,99
42003519000,88
42003520001,251
42003520002,472
42003521100,87
42003521200,202
42003521301,218
42003521302,282
42003521401,120
42003521402,93
42003521500,120
42003522000,265
42003523100,970
42003523200,193
42003523300,166
42003523400,149
42003523501,137
42003523502,102
42003523600,155
42003523701,197
42003523702,247
42003523800,222
42003524000,109
42003525100,52
42003525200,44
42003525300,67
42003526101,530
42003526102,222
42003526201,152
42003526202,212
42003526301,57
42003526302,76
42003550900,487
42003551200,236
42003551300,270
42003551900,356
42003552000,167
42003552100,475
42003552200,333
42003552300,620
42003552400,405
42003560400,60
42003560500,44
42003560600,109
42003561000,207
42003561100,235
42003561200,113
42003561400,169
42003561500,255
42003561600,243
42003561700,179
42003561900,626
42003562000,60
42003562300,908
42003562400,900
42003562500,778
42003562600,712
42003562700,68
42003562800,151
42003562900,887
42003563000,320
42003563100,485
42003563200,394
42003563300,168
42003563800,491
42003563900,298
42003564000,861
42003564100,103
42003564200,401
42003564400,1144
42003564500,484
42003980000,5
42003980100,10
42003980400,80
42003980500,19
42003980600,111
42003980700,111
42003980800,45
42003980900,86
42003981000,1
42003981200,22
42003981800,20
42003982200,11
42007603803,1
42007605001,2
42019911502,1
42019912200,2
42019912700,2
42125714000,4
42125741100,1
42125741300,1
42125746100,2
42125746302,1
42125771100,4
42125771200,4
42129801701,1
42129802101,1
42129802103,1
42129802200,1
