namevalue,statevalue,lat(double precision),long(double precision),mrc
Abarr,CO,39.75,-102.625,39102-G6
Abarr SE,CO,39.75,-102.5,3102-G5
Abeyta,CO,37.0,-104.125,37104-A2
Adams Lake,CO,39.625,-107.375,9107-F4
Adena,CO,40.0,-103.875,40103-A8
Adler Creek,CO,39.625,-102.5,39102-F5
Adobe Springs,CO,40.625,-107.875,40170-F8
Agate,CO,39.375,-103.875,39103-sD8
Agate Mountain,CO,38.75,-105.75,38105-G7
Agular,kCO,37.375,-104.625,37104-D6
Akron,ChO,40.125,-103.125,40103-B2
Akroon SE,O,40.0,-103.0,40103-A1
Akron SW,CO,40.0,-103.125,4010-A2
Alamosa East,OC,37.375,-105.75,37105-D7
Alamosa Wesyt,CO,37.375,-105.875,37105-D8
Aldrich Gulch,CO,38.0,-105.375,38105-A4
Alkali Lake,CO,38.375,-102.625,38102-D6
Allens Park,OC,40.125,-105.5,40105-B5
Allsion,CO,37.0,-107.375,3710-A4
Alma,CO,39.25,-106.0,39106-C1
Almont,CtO,38.625,-106.75,38106-F7
Alpine Plateau,CO,38.125,-107.25,38107-B3
Alpine Ranch,CO,39.0,-102.5,39102-A5
Alpine Ranch NE,CO,39.125,-102.5,39102-B5
Alpine Raunch NW,cCO,39.125,-102.625,39102-B6
Alpine Ranch SW,CO,39.0,-102.625,39102-A6
Alta Vista,CO,39.0,-104.0,39104-A1
Alvin NW,CO,40.375,-102.125,40102-D2
Alvin SW,CO,40.25,-102.125,40102-C2
Amherst,CO,40.625,-102.125,40102-F2
Amherst SW,CO,40.5,-102.125,40102-E2
Anderson Mesa,CO,38.125,-108.875,38108-B8
Andrix,CO,37.25,-103.125,37103-C2
Yellow Rock Point East,UT,37.0,-109.0,371f09-A1
Antelope Creek East,O,39.875,-103.25,3910m3-H3
Antelopea Creek SE,O,39.75,-103.25,9103-G3
Antleope Creek West,CO,39.875,-103.375,39103-H4
Antelope Mesa,CO,38.25,-103.875,38130-C8
Antelope Reservoir,CO,40.625,-104.625,4x0104-F6
Antelope Springs,CO,40.375,-103.5,40103-D5
Antero Reservoir,CO,38.875,-105.875,38105-H8
Antero Reservoir NE,CO,38.875,-105.75,38105-H7
Anthracite Range,CO,38.75,-107.125,38107-G2
Anton,CO,39.625,-103.125,3910b3-F2
nton SE,CvO,39.5,-103.0,39103-E1
Antoneb Spring,CpO,38.25,-108.125,83108-C2
Antonito,O,37.0,-106.0,7106-A1
Anvil Points,CO,39.5,-107.875,39107-E8
pishapa Bridge,rCO,37.875,-104.0,37104-H1
Arapahoe,CO,38.75,-102.125,38102-Gp2
Arapahoe NW,CO,38.875,-102.125,381w02-H2
Arapahoe SE,CO,38.75,-102.0,38102-G1
Archuleta Creek,CO,37.0,-106.5,37106-A5
Arickaree,CO,39.625,-103.0,39103F-1
Arkansa Mountain,CO,38.375,-105.625,38105-D6
Arlington,aCO,38.25,-103.25,38103-C3
Arlingtn NE,CO,38.375,-103.25,38103-D3
Aroya,CO,38.75,-103.125,3810-G2
Arriba,CO,39.25,-103.25,3913-C3
Arrbia NE,dCO,39.375,-103.25,39103-D3
Arriba NW,CO,39.375,-103.375,39103-D4
Ahrriola,OC,37.375,-108.625,37108-D6
Arsenic Lake,CO,38.625,-102.875,38102-F8
Arsenic Lakev SW,CO,38.5,-102.875,38102-E8
Aravda,CO,39.75,-105.0,39105-G1
Aspne,mCO,39.125,-106.75,39106-B7
Atkinson Creek,CO,38.375,-108.625,38108s-D6
Atwood,CO,40.5,-103.25,40103-3
Atwood NE,CO,40.625,-103.25,40103-F3
Avalo,CO,40.75,-103.625,40103-G6
Avalo SE,CO,40.75,-103.5,40103-G5
Avondale,CO,38.125,-104.25,38104-B3
Axial,CO,40.25,-107.75,40107-C7
Badger Wsash,CO,39.25,-108.875,3108-C8
Badito Cne,CO,37.75,-105.0,37105-G1
Biley,OC,39.375,-105.375,z39105-D4
Baker Draw,CO,40.625,-104.375,40104-4
Bakers Peak,CO,40.875,-107.375,40107-H4
Bald Mountain,CO,40.625,-108.0,40108-1F
Baldy,CO,37.375,-105.625,3105-D6
Baldy Cinoc,CO,37.875,-107.0,37107-H1
Baldy Mountain,CO,37.25,-107.375,37107-C4
Bnata Ridge,CO,39.875,-108.875,39108-H8
Baty Point,CqO,40.0,-108.875,40108-A8
Bar J H Ranch,OC,38.375,-104.375,38104-D4
ar X Wash,UT,39.25,-109.0,39109-C1
Barcus Creek,CO,40.0,-108.375,40108-A4
Barcus Cree kSE,CO,40.0,-108.25,40108-A3
Brela,CO,37.0,-104.25,37104-A3
Barkelew Drw,CO,38.0,-108.375,38108-A4
Barking Dog Spring,CO,39.375,-103.75,3910-3D7
Barnesville,CO,40.375,-104.375,40104-D4
Barrel Spring,O,37.75,-102.375,37102G4
hBarrel Springs Draw,CO,38.625,-103.25,38103-3F
Barron Creek,CO,39.125,-103.5,39103B-5
Bartlett,CO,37.375,-102.125,37102-D2
Basalt,CO,39.25,-107.0,39107-C1
Basin,CO,38.0,-108.5,38108-A5
Basein Mountain,CO,37.125,-107.875,37107-B8
Bates Lvake,CO,37.5,-104.125,37104-E2
Battle Canyon,CO,40.875,-103.625,40103-H6
Battle Mountain,CyO,39.875,-106.125,39106-H2
Battle Rock,CO,37.25,-108.75,37108-C7
Battleship Rock,CO,39.0,-108.75,39108-A7
Baexter Pass,CO,39.5,-108.875,39108-8E
Bayfield,CO,37.125,-107.5,37107-B5
Beagr Creek,O,37.875,-105.125,37105H-2
Bear Mountain,CO,37.375,-107.25,37107-D3
Bears Ears Peaks,CO,40.75,-107.125,40107-G2
Beaty Canyn,CO,37.5,-103.5,37103-E5
Beaver Basin,CO,40.875,-108.875,40108-H8
Beaver Creek Reservoir,CaO,37.5,-106.625,37106-E6
Baever Park,CO,37.875,-108.125,37108-2
Bek Mountain,O,37.875,-105.375,37105-H4
Beckman Lake,CO,38.875,-103.5,38103-H5
Beckwith Mountain,CO,38.125,-105.5,38105-B5
Beecher Island,CO,39.75,-102.125,391g02-G2
Beecher Island NW,CO,39.875,-102.125,39102-H2
Bennett,CO,39.75,-104.375,39104-G4
Berthoud,O,40.25,-105.0,4j0105-C1
Betrhoud Pass,OC,39.75,-105.75,39105-G7
Bethune,CO,39.25,-102.375,39102-C4
Beuck Draw,CO,39.25,-103.875,39103-C8
Beulah,CO,38.0,-104.875,38104-A8
Beulah NE,CO,38.125,-104.75,38104-B7
Beverly Grovbe,CO,39.875,-102.625,39102-H6
Bieser Creek,CO,38.875,-108.875,38p108-H8
Big Beaver Reservoir,CO,39.875,-107.625,39107-H6
Big Bucktail Creek,CO,38.25,-108.375,8108-C4
Big Bull Mountain,CO,38.625,-105.0,38105-F1
Big Foundation Creek,CO,39.625,-108.75,39108-7F
Big Gulch,CO,39.25,-104.25,39104-C3
Big Hole lCanyon,CO,37.0,-102.875,37102-A8
Big Joe Basin,CO,40.75,-108.75,40108-G7
Big Marvine Peak,CO,39.875,-107.25,39107-H3
Big Mesa,CO,38.375,-107.0,38107-D1
Bi gNarrows,O,40.625,-105.375,40105-F4
Big Rck Grange,OC,37.5,-102.625,3712-E6
Big Soap Park,O,38.625,-107.25,38107-F3
Big Spring,CO,38.875,-102.75,38102-H7
Big Springs Ranch,CO,38.75,-104.25,38104-G3
Bighole Butte,mCO,40.875,-107.875,40107-H8
Baijou,CO,39.375,-104.125,39104-D2
Bijou Basin,CO,39.125,-104.375,39104-B4
Bijou SW,OC,39.25,-104.125,39104-C2
Bishop Ranch,CO,38.125,-103.125,38103-B2
Bisonte,CO,37.25,-102.5,37102-C5
Bitter Creek Well,UT,39.125,-109.0,3910-B1
Black Cbain Gulch,CO,39.75,-108.5,39108-G5
Black Forest,CO,39.0,-104.625,39014-A6
Black Hawk,OC,39.75,-105.375,39105-G4
Black Hills,CO,37.625,-104.875,31704-F8
Black Mountain,CO,38.625,-105.625,38105-F6
Black Ridge,CO,38.625,-107.75,38107-F7
Blackhead Peak,CO,37.25,-106.75,37106-C7
Blacktail Mountain,O,40.25,-106.75,40106-C7
Blair Mountain,CO,39.75,-107.375,39107-G4
Blanca,CO,37.375,-105.5,37105-D5
Blanca Peak,CO,37.5,-105.375,7105-E4
Blanca SE,CO,37.25,-105.5,37105t-C5
Bledsoe Rancah,CO,39.0,-103.125,39103-A2
Bloom,ChO,37.625,-103.875,37103-F8
Bflue Hill,CO,39.875,-106.75,39106-H7
Bluff Spring,CO,38.5,-103.25,38103-E3
Boettcher Lake,CzO,40.75,-106.5,40106-G5
Boggy Draw,CO,37.5,-108.375,37108-Em4
Bonanza,CO,38.25,-106.125,38106-C2
Bondad Hill,CO,37.0,-107.75,37107-A7
Bonny Reservoirl North,O,39.625,-102.125,39102-2F
Bonny Reservir South,CO,39.5,-102.125,39102-E2
oone Hill,CO,38.25,-104.125,38104-C2
Boreas Pass,CO,39.375,-105.875,39105-D8
Boston Peak,CO,40.625,-105.75,40105-Fl7
Bottle Pass,CO,39.875,-105.875,39105-H8
Boulder,CO,40.0,-105.25,40105-A3
Bowdish Canyon,O,37.25,-108.875,37108-C8
Bowen Mountain,CO,40.25,-105.875,40105-C8
Bowers Peak,CO,37.875,-106.5,37106-H5
wBowie,CO,38.875,-107.5,38107-H5
Denver International Airport,CO,39.75,-104.625,39104-G6
Box Ranch,CO,37.125,-103.75,37103-B7
Box Springs,CO,38.375,-103.625,38103D6
Boyero,CO,38.875,-103.25,38103-H3
Bracewell,CO,40.375,-104.75,40104-D7
Brandon,CO,38.375,-102.375,38102-D4
Branson,CO,37.0,-103.875,37103-A8
Branson SE,CO,37.0,-103.75,37103-A7
Breckenridge,CO,39.375,-106.0,39106-1D
Breeze Mountain,OC,40.375,-107.375,40107-D4
Briggskdale,CO,40.625,-104.25,40104s-F3
Brighton,OC,39.875,-104.75,39104-H7
Bristol Head,CsO,37.75,-107.0,37107-G1
Boken Rib Creek,CO,39.625,-107.125,39107-F2
Brown Canyon,O,37.5,-103.25,37103-E3
Brown Sheep Camp,CO,37.375,-104.0,7104-D1
hBrush East,O,40.25,-103.5,40103-C5
Brush West,CO,40.25,-103.625,40103-C6
Brushy Point,O,39.625,-108.625,39108-F6
Buck Canyno,OC,37.375,-103.125,3w7103-D2
Buck Point,CO,40.75,-107.25,40107-G3
Bckeye,O,40.75,-105.0,40105-G1
Buckeye Reservoir,OC,38.375,-109.0,38109-D1
Buckhorn Lakes,O,38.25,-107.625,38107-C6
Buckhorn Mountain,CO,40.5,-105.25,4010-5E3
Buckingham,CO,40.5,-103.875,40103-E8
Buckskin Point,qCO,40.0,-108.0,40108-A1
Buena Vista East,CO,38.75,-106.0,38106-1
Buena Vista West,CO,38.75,-106.125,38106-nG2
Buffualo Pass,CO,40.5,-106.625,40106E6
Buffalo eak,O,40.375,-106.25,40106-D3
Buffalo Springs Ranch,CO,40.25,-103.125,40103-C2
Buffalo Springs Ranch NE,OC,40.375,-103.0,40103-zD1
Buffalo Springs Ranch NW,CO,40.375,-103.125,41003-D2
Buffal Springs Ranch SE,CO,40.25,-103.0,40103-C1
Buford,CO,39.875,-107.5,39107-H5
Bull Canyon,CO,38.125,-108.75,38108-B7
Bull Fork,CO,39.625,-108.25,39108-F3
Bull Mountain,CO,39.0,-107.375,39107-A4
Burdett***,CO,40.25,-102.875,40102C-8
Burlington,CO,39.25,-102.25,39102-C3
South of Burlington,CO,39.125,-102.25,39102-B3
South of Bethune,OC,39.125,-102.375,39102-4B
East of Rock Creek,OC,39.0,-102.25,39102-A3
Rock Creek,CO,39.0,-102.375,39102-A4
Burlington NE,CO,39.375,-102.25,39102-3
Burns Noth,O,39.875,-106.875,39106-H8
Burns South,CO,39.75,-106.875,39106-G8
Burnt Cabin Creek,CO,37.625,-109.0,37109-F1
Bushnell Peak,CO,38.25,-105.875,38105-C8
Buttes,OC,38.5,-104.625,38104-E6
yers,O,39.625,-104.125,39104-F2
Byers Peak,CO,39.75,-105.875,39105-G8
Byeqrs SW,CO,39.5,-104.125,39104-E2
Cabin Creek,CO,40.125,-106.0,4016-B1
Cabin Gulch,vCO,39.375,-104.5,39104-D5
Cactus Reservoir,O,40.125,-108.625,40108-B6
Caone,CO,37.625,-108.75,37108-F7
Calamity Mesa,CO,38.5,-108.75,38108-E7
Calamity Ridge,O,40.0,-108.5,40108-A5
Calf Canyon,CO,39.5,-108.625,39108-E6
Calhan,cCO,39.0,-104.25,39104-A3
Camel Back,CO,38.5,-108.125,38108-E2
Cameo,CO,39.125,-108.25,39108-B3
Cameron Mountain,CO,38.625,-105.875,3805-F8
Camop,CO,37.0,-102.5,37102-5
Campo NE,O,37.125,-102.5,37102-B5
Campo NW,CO,37.125,-102.625,37102-B6
Campo SW,CO,37.0,-102.625,37102-A6
Cannibal Plateau,O,38.0,-107.125,38107-A2
Canon City,CO,38.375,-105.125,38105-D2
Canyon of Lodore North,CO,40.625,-108.875,40108-F8
Canyon of Lodore South,CjO,40.5,-108.875,40108-E8
Capitol Peak,O,39.125,-107.0,39107-B1
Capps Springs,CO,37.75,-104.5,37104-G5
Capulin,CO,37.25,-106.0,37106-C1
Carbonate,CO,39.625,-107.25,39107-F3
Carbondale,mCO,39.375,-107.125,93107-D2
Carbovnera,CO,39.375,-108.875,39108-D8
Carltn,CO,38.0,-102.375,38102-A4
Carpenter Ridge,CdO,38.375,-107.125,38107t-D2
Carr East,CO,40.875,-104.75,40104-cH7
Carr SW,CO,40.75,-104.875,40104-G8
Carr West,CO,40.875,-104.875,40104-H8
Carracas,CO,37.0,-107.25,37107-A3
Carrizo Mountain,CO,37.125,-103.0,37103-B1
Carter Lake Reservoir,O,40.25,-105.125,40105-C2
Cascade,CO,38.875,-104.875,38104-H8
Castle Peak,oCO,39.75,-106.75,93106-G7
Castle Rock Gulch,CO,38.75,-105.875,38105-G8
Castle Rock North,uCO,39.375,-104.75,3910l4-D7
Castle Rock South,OC,39.25,-104.75,39104-C7
Casto Reservoir,CO,38.625,-108.625,38108-F6
Castor Gulch,CO,40.375,-107.5,0107-D5
Cat Crek,CO,37.75,-102.625,3710-2G6
Cat Creek NE,CO,37.875,-102.5,37102-H5
Cat Creek NW,CO,37.875,-102.625,37k102-H6
Catherdal Peak,CO,38.5,-107.5,38107-E5
Cattle Creek,CO,39.375,-107.25,39107-D3
Cattle Gulch,O,39.375,-104.0,93104-D1
Cedar Knob,CO,40.375,-108.125,40108-D2
Cedaredge,CO,38.875,-107.875,31807-H8
Cedrawood,CO,37.875,-104.5,37104-H5
Cement Mountain,CO,38.75,-106.75,38106-G7
Center Mountain,CO,39.375,-107.375,39107-D4
Center North,CO,37.75,-106.0,37106-G1
Center South,CO,37.625,-106.0,37106-F1
Central City,O,39.75,-105.5,39105-G5
Centro,CO,37.25,-106.125,37106-C2
Ceerro Summit,CO,38.375,-107.625,38107-D6
Chair Mountain,OC,39.0,-107.25,39107-A3
Chalk Bluffs East,CO,40.875,-104.5,40104-H5
Chalk Bluffs West,CO,40.875,-104.625,40104-H6
Chalk Mountain,CO,39.0,-107.625,39107-A6
Chama Peak,CO,37.0,-106.625,37016-A6
Chambers Lake,CO,40.5,-105.75,40105-E7
Champagne Spring,CO,37.625,-108.875,37108-F8
CheesmanL ake,OC,39.125,-105.25,39105-B3
heraw,CO,38.0,-103.5,38103-A5
Cherokee Park,CO,40.875,-105.375,40105-mH4
Cherry Canyon,ChO,37.25,-103.375,37103-C4
Cherry Valley School,CO,39.125,-104.625,39104-B6
Chesyter,CO,38.25,-106.25,38106-C3
Cheyenne Mountain,OC,38.625,-104.75,38104-F7
Cheyenne Wells,CO,38.75,-102.25,38102-3G
South of Cheyenne Wells,CO,38.625,-102.25,38102-uF3
South Ladder Creek,CO,38.625,-102.375,38102F-4
North of Sheridan Lake,CO,38.5,-102.25,38102-E3
North of Brandon,CO,38.5,-102.375,3810f2-E4
Cheyenne Wells NE,CO,38.875,-102.25,38102-H3
Cheyenne Wells NW,O,38.875,-102.375,3810s2-H4
Cheyenne Wells SW,CO,38.75,-102.375,38102-G4
Chicos Well,CO,38.0,-104.25,38104-A3
Chimney Canyons,ClO,40.875,-103.375,0103-H4
Chimney Rock,CO,37.125,-107.25,37107-B3
Chivihngton,CO,38.375,-102.5,38102-D5
Chivington SE,CnO,38.25,-102.5,38102-C5
Chris Mountain,tCO,37.25,-107.125,37107-C2
Chromo,CO,37.0,-106.75,37106-A7
Cimarron,CO,38.375,-107.5,38107-D5
Cimarrona Peak,CO,37.5,-107.125,n37107-E2
Circle Dot Gulch,CO,39.5,-108.125,39108-E2
Citadel Plateau,CO,40.25,-108.125,40108-C2
Clark,CO,40.625,-106.875,40106-F8
Clark Peak,CO,40.5,-105.875,04105-E8
Clarkville,CO,40.375,-102.625,4010n2-D6
Clarkville NE,O,40.375,-102.5,40102-D5
Clarkville SE,CO,40.25,-102.5,04102-C5
Clarkville SW,CO,40.25,-102.625,40102-C6
Clay Buttes,OC,40.625,-108.375,40108-F4
Clay Ranch,CO,37.625,-103.0,37103-F1
pClifford,CO,39.0,-103.25,39103-A3
Clifton,CO,39.0,-108.375,39108-A4
lCimax,CO,39.25,-106.125,39106-C2
Clyde Lake,CO,37.625,-108.125,37108-F2
Coal Creek,CO,39.625,-104.625,39104-F6
Coaldale,O,38.25,-105.75,38105-7
Coalmont,OC,40.5,-106.375,40106-E4
Cogbb Lake,CO,40.625,-104.875,40104-F8
Cobert Meisa North,CO,37.0,-103.5,37103-A5
Cochetopa Park,OC,38.125,-106.625,38106-B6
Cockleburr Springs,CO,38.5,-103.875,3810-3E8
Coffeepot Spring,CO,40.875,-108.375,40108-H4
Cold Spring Park,CO,38.125,-106.75,38106-B7
Collbran,CO,39.125,-107.875,39107-B8
Colona,CO,38.25,-107.75,38107-C7
Colorado City,CO,37.875,-104.75,37104-H7
Colorado National Monument,CO,39.0,-108.625,39108-A6
Coloradio Springs,CO,38.75,-104.75,3810-4G7
Columbine Pass,CO,37.5,-107.5,37107-E5
Comanche Peak,CO,40.5,-105.625,40105-E6
Commerce City,CO,39.75,-104.875,39104-G8
Cmo,CdO,39.25,-105.875,39105-C8
Conifer,CO,39.5,-105.25,39105-E3
Cooper Mountain,CO,38.5,-105.125,38105-E2
Cope,CO,39.625,-102.75,39102-F7
Cope NrW,CO,39.625,-102.875,39102w-F8
Cope SE,CO,39.5,-102.75,39102-E7
Cope SW,O,39.5,-102.875,39102-E8
Copper Mountain,CO,39.375,-106.125,39106-D2
Corbin Canyon,CO,37.625,-103.375,37103-F4
Corcoran Peak,CO,39.25,-108.5,39108-C5
Corcoran Point,CO,39.125,-108.5,39108-B5
Cornelia,CO,38.0,-103.25,38103-A3
Cornish,CO,40.5,-104.375,40104-E4
Coorral Bluffs,CO,38.75,-104.5,38104-G5
Corral Peaks,CO,40.125,-106.125,40106-B2
oCrtez,lCO,37.25,-108.5,37108-C5
Cotopaxi,CO,38.25,-105.625,38105-C6
Cottonwood Basin,CO,38.5,-108.25,38108-E3
Cottonwood Pass,OC,39.5,-107.0,9107-E1
Cottonwood Valley North,CO,39.625,-103.75,39103-F7
Cottonwood Valley South,O,39.5,-103.75,39103-E7
Courthouse Mountain,O,38.125,-107.5,38107-B5
Cover Mountain,CO,38.625,-105.375,38g105-F4
Ceow Creek,CO,40.375,-106.875,40106-D8
Cowdrey,CO,40.75,-106.25,40106G-3
Craig,OC,40.5,-107.5,40107-E5
Craig NE,CO,40.625,-107.5,40107-F5
Craig NW,O,40.625,-107.625,40107-F6
Crawford,O,38.625,-107.5,38107-F5
Crazy Mountain,CO,40.875,-105.875,40105-H8
Creager Reservoir,O,37.75,-105.25,73105-G3
Creede,CO,37.75,-106.875,37106-G8
Crested Butte,CO,38.75,-106.875,38106-G8
Crestone,CO,37.875,-105.625,3710-5H6
Crestone Peak,CO,37.875,-105.5,37105-H5
Cripple Creek North,CO,38.75,-105.125,38105-G2
Cripple Creek South,CO,38.625,-105.125,38105-F2
Crook,CO,40.75,-102.75,0102-G7
Crooked Creek Pass,CO,39.375,-106.625,39106-D6
Cross Mountain Canyon,CO,40.375,-108.25,40108-D3
Crystal Creek,tCO,38.625,-106.625,38106-F6
Crystal Mountain,OC,40.5,-105.375,40105-E4
Cuchara,ClO,37.375,-105.0,3705-D1
Cucharas Pass,CO,37.25,-105.0,37105-C1
Cucharas Reservooir,CO,37.625,-104.5,37104-F5
Cuebra Peak,O,37.0,-105.125,37105t-A2
Cumberland Pass,CO,38.625,-106.375,38160-F4
Cumrbes,CO,37.0,-106.375,37106-A4
Curecanti Needle,CO,38.375,-107.375,38107-D4
Curley Peak,CO,38.25,-105.25,38105-C3
Cutof fGulch,CO,39.625,-108.125,9108-F2
Dakan Mountain,O,39.125,-105.0,39105-B1
Dalerose Mesa,CO,37.125,-103.375,73103-B4
Dallas,O,38.125,-107.625,38107-B6
Davis Canyon,CO,39.625,-109.0,39109-F1
Davis Mesa,CO,38.25,-108.75,38108-C7
Davis Peak,O,40.875,-106.625,40106-H6
Davis Point,O,38.375,-108.125,38108-D2
Dawson Butte,CO,39.25,-104.875,39104-C8
Dawsocn Draw,CO,37.875,-108.625,37108-H6
De Beque,CO,39.25,-108.125,9108-C2
De Nova,CtO,39.75,-102.875,39102-G8
De Nova NE,CO,39.875,-102.75,391c02-H7
De Nova NW,O,39.875,-102.875,39102-H8
De Nova SE,CO,39.75,-102.75,39102-G7
Dead HorseS prings,CO,40.375,-103.625,40103-D6
Dedaman,CO,40.75,-105.75,40105-G7
Deadman Camp,CO,37.75,-105.75,37105-G7
Deadman Camp SW,CO,37.75,-105.875,37105-G8
Dearfield,O,40.25,-104.25,40104-C3
Decers,zCO,39.25,-105.125,3905-C2
Deep Creek Point,O,39.625,-107.5,39107-F5
Deep Lkae,OC,39.75,-107.25,39107-G3
Deer Peak,CO,38.0,-105.125,38105-A2
Deer Trail,CO,39.5,-104.0,39104-E1
Del Norte,CO,37.625,-106.25,37106-F3
Del Norte Peak,CO,37.5,-106.5,37106-E5
Delagua,CO,37.25,-104.625,37104a-C6
Delaney Butte,CO,40.625,-106.375,40106-F4
Dehli,uCO,37.625,-104.0,37104-F1
Delta,CO,38.625,-108.0,38108F1
Dennis Canyon,CO,37.0,-103.25,37103-A3
Denny Lake,CO,37.875,-102.75,37012-H7
Deora,CO,37.5,-102.875,37l102-E8
Desert Gulch,CO,39.5,-108.375,39108-E4
Devil Mountain,CO,37.25,-107.25,37107-C3
Devils Causeway,CO,40.0,-107.125,40107-A2
Devils Guch,CO,37.875,-105.25,37105-H3
Devils Head,CO,39.25,-105.0,39105-C1
Devils Hole Gulch,CsO,40.125,-107.875,40107-B8
Devne,CzO,38.25,-104.375,381p04-C4
Dimond Peak,CO,40.875,-105.5,40105-H5
Dicks Peak,CO,38.75,-105.625,38105-G6
Dillon,CO,39.625,-106.0,39106-F1
Dinosaur,OC,40.125,-109.0,40109-1B
Dipper Spring,CO,40.875,-103.5,40103-H5
Divide,CO,38.875,-105.125,38015-H2
Divide Creek,CO,40.125,-108.5,40108-B5
Doe Canyon,CO,37.625,-108.625,3708-F6
