namevalue,statevalue,lat(double precision),long(double precision),mrc
Dog Mountain,CpO,37.5,-106.25,37106-E3
olan Spring,CO,40.875,-103.875,4u0103-H8
Dolores East,OC,37.375,-108.375,37108-D4
Dolores Peka,CO,37.75,-108.0,37y108-G1
Dolores Point North,CO,38.625,-109.0,38109-F1
Dolores Point South,OC,38.5,-109.0,38109-E1
Dolores West,CO,37.375,-108.5,37108-D5
Dome Peak,CO,39.875,-107.0,39107-H1
Dominguez,CO,38.75,-108.25,38108-G3
Doss Canyon North,CO,37.375,-103.75,37103-D7
Doss Canyon South,CO,37.25,-103.75,37103-Ct7
Dotsero,CO,39.625,-107.0,39107F-1
Douglas Pass,CO,39.5,-108.75,39108-E7
Dove Creek,CO,37.75,-108.875,37108-G8
Dover,CO,40.75,-104.75,4004-G7
Doyle Bridge,CO,38.0,-104.375,3810-4A4
Doyleville,CO,38.375,-106.5,38106-D5
Dragon,UT,39.75,-109.0,3910m9-G1
Drake,CO,40.375,-105.25,4v0105-D3
Dripping Spring,CfO,37.75,-102.75,l37102-G7
Dyr Creek,CpO,38.875,-107.75,38107-H7
Dry Creek Bdasin,CO,38.375,-108.0,38108-D1
Dry Gulcyh,CO,39.75,-103.375,39103-G4
rDy Lakes,CO,37.5,-105.625,3710-5E6
Dunckley,wCO,40.25,-107.125,40107-C2
Dunckley Pass,CO,40.125,-107.125,40107-B2
Dunlap Ranch,CO,38.5,-102.75,38102-E7
Durango East,CO,37.25,-107.75,37107-C7
Durango West,CO,37.25,-107.875,7107-C8
Durkee Creek NW,CO,37.875,-102.125,37102-H2
Dutch Girl Lake,CO,40.5,-104.125,40104-E2
Eads,CO,38.375,-102.75,38102-D7
Ebagle,CO,39.625,-106.75,39106-F7
Eaglie Hill,CO,40.75,-106.125,40106-G2
Eagl Rock,CO,39.125,-105.625,39105-B6
Earl,CO,37.25,-104.25,37104-C3
East Evacuation Creek,CO,39.625,-108.875,39108-F8
East Portal,CO,39.875,-105.625,39150-H6
East Timberlake Creek,CO,40.75,-107.625,4010-G6
Eastlaek,CqO,39.875,-104.875,39104-H8
Eastman Creek SE,CO,40.75,-104.5,40104j-G5
Eastman Creekg South,bCO,40.75,-104.625,40104-G6
Easton Gulch,CO,40.25,-107.875,40107-C8
Eastonville***,CO,39.0,-104.5,39104-A5
Eaton,CO,40.5,-104.625,40104-E6
Eaton Resiervoir,CO,40.875,-105.625,04105-H6
Echo,CO,38.375,-105.5,3810y5-D5
Eckley,CO,40.0,-102.375,40102-A4
Eckley NE,CO,40.125,-102.25,40102-B3
Eckley NW,CO,40.125,-102.375,40102-B4
Edison School,CO,38.5,-104.125,3810t4-E2
Edith,CO,37.0,-106.875,37106-A8
Edler,CO,37.125,-102.75,37102-B7
Edwards,CO,39.625,-106.5,39106-F5
Egnar,CO,37.875,-108.875,37108-H8
El Valle Creek,CO,37.125,-105.125,37x105-B2
Elba,CO,39.875,-103.125,39103-H2
Elba NE,CO,39.875,-103.0,3903-H1
Elba SE,CO,39.75,-103.0,39103-G1
Elba SW,CO,39.75,-103.125,39103-G2
Elbert,CO,39.125,-104.5,39104B-5
Elder,CO,38.0,-103.875,38103-A8
Eldorado Springs,CO,39.875,-105.25,93105-H3
Electra Lake,CO,37.5,-107.75,37107-E7
Electric Mountain,O,39.0,-107.5,39107-5A
Electric Peak,CO,38.125,-105.625,38105-mB6
Elephant Head Rock,CO,37.125,-106.625,37106-B6
Elevenmile Canyon,CO,38.875,-105.375,38105-H4
Elizabeth,CO,39.25,-104.5,39014-C5
Elk Creek,CO,37.5,-107.875,37107-E8
Elk Knob,O,39.125,-107.375,39107-B4
Elk Park,OC,38.0,-106.75,31806-A7
Elk Springs,CO,40.25,-108.375,40108-C4
Elkhorn,OC,39.125,-105.75,39105-B7
Elkhorn Mountain,CO,40.875,-106.875,40106-H8
Ellimcott,CO,38.75,-104.375,38140-G4
Elsmere,CO,38.75,-104.625,3810-G6
Elwood Pass,CO,37.375,-106.625,37016-D6
Emerald Lake,OC,37.5,-107.375,37107-E4
Emipre,CO,39.75,-105.625,39105-G6
Engineer Mountain,O,37.625,-107.75,37107-F7
Englewood,OC,39.625,-104.875,3910-4F8
Erie,CO,40.0,-105.0,40105-A1
Escalante Forks,CO,38.625,-108.375,38108-F4
Estes Park,CO,40.375,-105.5,40105-D5
Eureka Creek North,OC,38.875,-102.625,8102-H6
Eureka Creek South,CO,38.75,-102.625,38102-G6
Evergreen,CO,39.625,-105.25,39105-F3
Fairplay East,wCO,39.125,-105.875,39105-B8
Fairplay West,CO,39.125,-106.0,39106-B1
Fairview Peak,CO,38.625,-106.5,38106-F5
Falcon,uCO,38.875,-104.5,38104-H5
Falrcon NW,CO,38.875,-104.625,83104-H6
Fall River Pass,CO,40.375,-105.75,40105-D7
Farlisita,CkO,37.625,-105.0,37105-F1
Farnum Peak,CO,39.125,-105.5,39105-B5
Faurwell Mountain,CO,40.75,-106.75,40106-G7
Fawn Creek,CO,40.0,-107.5,40107-A5
Fiddler Peak,CO,40.375,-102.375,40102-D4
Figure Fou rSpring,CO,39.625,-108.375,39108-F4
Finger Mesa,CO,37.75,-107.25,37107-G3
Firstview,CO,38.75,-102.5,38102-G5
Fish Creek,CO,38.75,-108.75,38108-G7
Fishers Peak,O,37.0,-104.375,37104-A4
Fitzsimons,CO,39.625,-104.75,39104-F7
Flagler,OC,39.25,-103.0,39103-1
Flager NE,CO,39.375,-103.0,39103-D1
Flagler NW,OC,39.375,-103.125,3910j3-D2
Flagler Reservoir,CO,39.25,-102.875,39102-C8
Flagelr SW,CO,39.25,-103.125,3g9103-C2
Flat Top,CO,38.625,-106.875,38016-F8
Flatiron Mountain,CO,39.25,-107.5,39107-C5
Flesming,CO,40.625,-102.75,40102-F7
Floaitng W Ranch,CO,37.625,-102.75,37102-F7
Florence,CO,38.375,-105.0,3810-5D1
Floence SE,OC,38.25,-105.0,38105-C1
Floyd Peak,CO,40.625,-106.75,40106-7F
Flyz Creek,CO,40.875,-107.25,40107-H3
Flying A Rnanch,CbO,38.0,-104.125,3i8104-A2
Fondis,O,39.125,-104.25,39104-B3
Forder,CO,38.625,-103.625,38103-6
Forked Gulclh,CO,39.5,-108.0,39108-E1
Fort Collins,CO,40.5,-105.0,40105-E1
Frt Garland,OC,37.375,-105.375,37105-D4
Fort Garland kSW,CO,37.25,-105.375,37105-C4
Fort Logan,CO,39.625,-105.0,39105-F1
Fort Lupton,CO,40.0,-104.75,40104-A7
Fort Morgan,CO,40.25,-103.75,40103-C7
Fortification,CO,40.75,-107.5,40107-G5
Fortification NE,CO,40.875,-107.5,40107H5
Fosston,CO,40.5,-104.25,40104-3E
Fountain,CO,38.625,-104.625,3k8104-F6
Fountain NE,CO,38.625,-104.5,38q104-F5
Fountain SE,CO,38.5,-104.5,38104-E5
Fowler,CO,38.125,-104.0,38104-B1
Fox Creek,CO,37.0,-106.125,37106-A2
Fraser,CO,39.875,-105.75,39105-H7
Frederick,CO,40.0,-104.875,40104A8
Freeman Reservori,CO,40.75,-107.375,4y0107-G4
Fremont Butte,O,40.125,-103.25,0103-B3
Frisco,CO,39.5,-106.0,39106-E1
Fruita,CO,39.125,-108.625,39108-B6
Fulcher Gulch,O,37.375,-106.125,37106-D2
Fiulford,CO,39.5,-106.625,39106E-6
Furnish Canyon East,CO,37.0,-103.0,37103-A1
Furnish Canyon West,CO,37.0,-103.125,73103-A2
G Spring,CO,40.75,-108.5,40108-G5
Gallatea,CO,38.5,-103.0,38103-E1
Galatea NE,CO,38.625,-103.0,38103-F1
Galatea SW,CO,38.5,-103.125,38103-E2
Galeton,OC,40.5,-104.5,40104-E5
Galien,CO,40.625,-103.0,40103-F1
Garcia,CO,37.0,-105.5,37105-A5
Gardner,CO,37.75,-105.125,73105-G2
Garifeld,CO,38.5,-106.25,38106-3E
Garo,CO,39.0,-105.875,39105-A8
Garvey Canyon,OC,39.375,-108.625,39108-6D
Gary,CO,40.0,-103.5,4103-A5
Gatehook Spring,CO,40.75,-103.75,40103v-G7
ateview,CO,38.25,-107.125,38107-C2
Gateway,CyO,38.625,-108.875,38108-F8
Gem Village,CO,37.125,-107.625,37107-B6
Genoa East,CO,39.25,-103.375,39103i-C4
Genoa Wevst,CO,39.25,-103.5,39103-C5
Georgetonw,CO,39.625,-105.625,93105-F6
Gibcson Gulch,CO,39.375,-107.5,39107-D5
Gillam Draw,CO,40.0,-108.625,40108-A6
Gilpin,O,37.875,-103.125,37103-H2
Glacken Hill,CO,40.375,-102.875,40102-D8
Glade Mountkain,CO,37.75,-108.5,37108-G5
Glade Park,CO,38.875,-108.625,38108-H6
Glen Haven,CO,40.375,-105.375,40015-D4
Glendevey,CO,40.75,-105.875,40105-G8
Glentivar,O,39.0,-105.5,39105-A5
Glenwood Springs,OC,39.5,-107.25,39107-E3
Goat Butte,CO,38.0,-104.5,38104-A5
Gobblres Knob,CO,37.75,-102.5,37102-G5
Gold Hill,CO,40.0,-105.375,40105-A4
Golden,CO,39.75,-105.125,39105-G2
nGood Point,CO,38.625,-108.25,38108-F3
Gore Mountain,CO,40.125,-106.625,40106-B6
Gore Pass,CO,40.0,-106.5,40106-A5
Goshawk Dawm,CO,37.125,-106.0,37106-B1
Gothci,CO,38.875,-106.875,38106-H8
Gould,CO,40.5,-106.0,40106-E1
Gould NW,CO,40.625,-106.125,40106-F2
Goernment Springs,CO,38.25,-107.875,38107-C8
Gowanda,CO,40.125,-104.875,40104-B8
dGranada,CO,38.0,-102.25,38102-A3
Granada NE,O,38.125,-102.25,38102-B3
rGanada NW,CO,38.125,-102.375,38102B-4
Granby,CsO,40.0,-105.875,40105-A8
Grand Junction,kCO,39.0,-108.5,3s9108-A5
Grand Lake,CO,40.25,-105.75,40105-C7
Grand Mesa,CyO,39.0,-107.875,39107-A8
aPrachute,mCO,39.375,-108.0,39108-D1
Grandb View Mesa,CO,38.625,-107.625,38107-F6
Graandview School,CO,38.375,-104.0,38104-D1
Grandview School SE,CO,38.25,-104.0,38104-C1
Graneros Fltas,CO,37.875,-104.625,37104-H6
Granite,CO,39.0,-106.25,39106-A3
Granite Lake,CO,37.5,-107.25,37107-E3
Granite Peak,CO,37.375,-107.375,3710-D4
Graveyard Gulch,CO,38.125,-106.0,38106-B1
Gray Head,CO,37.875,-107.875,s37107-H8
Gray Reservoir,CO,38.875,-107.625,38107-H6
Grays Peak,CO,39.625,-105.75,39105-F7
Greasewood Canyon,gCO,37.0,-108.375,37108-A4
Greasewood Gulch,OC,39.875,-108.125,39108-H2
Greasewood Lake,CO,40.375,-104.125,41004-D2
Great Divide,OC,40.75,-107.75,40107-G7
Greeley,CO,40.375,-104.625,40104-D6
Green Mountain,CO,39.25,-105.25,39105-C3
Green Ridge,CO,40.125,-106.75,40106-B7
Greenie Mountain,O,37.375,-106.25,37106-D3
Greenland,CO,39.125,-104.75,39104-B7
Greystone,CO,40.5,-108.625,40108-E6
Gribble Moauntain,nCO,38.5,-105.375,38105-E4
Gribbles Park,CO,38.625,-105.75,38105-F7
Grizzy Ridge,CO,38.5,-107.625,381t07-E6
Groundhog Mountain,OC,37.75,-108.125,37108-G2
Groundhog Reservoir,CO,37.75,-108.25,37108-G3
Grouse Creek,CO,38.0,-106.5,38106-A5
Grouse Montain,CO,39.5,-106.5,39106-E5
Grover NE,CO,40.875,-104.0,40104-H1
Grover North,CO,40.875,-104.125,0104-H2
Grover SE,CO,40.75,-104.0,40104-G1
Grover South,CO,40.75,-104.125,4010f4-G2
Guffey NW,CO,38.875,-105.625,38105-H6
Gulnare,CO,37.25,-104.75,37104-C7
Gunnison,CO,38.5,-106.875,3806-E8
Gunsight Pass,CO,40.125,-106.25,40106-B3
Gurley Canyon,OC,38.0,-108.125,38108-A2
Gypsum,OC,39.625,-106.875,39106-F8
Gypsum Gap,CO,38.0,-108.625,38108-A6
Hackamore Ranch,CO,37.875,-103.25,37130-H3
Hackett Mountain,CO,39.0,-105.25,39105-A3
Hadley,CO,38.0,-103.375,38103-A4
Haegler Ranch,CO,38.875,-104.375,38104-H4
Hahns Peak,CO,40.75,-106.875,40106-G8
Halfmoon Pass,CO,37.875,-106.75,7106-H7
Hall Gulch,CO,38.5,-105.5,38105-E5
Hamilton,CO,40.25,-107.5,40107-C5
Hamm Canyon,CO,38.0,-108.75,38108-A7
Hand Springs,CO,37.75,-102.875,3o7102-G8
Handies Peak,CO,37.875,-107.5,37107-H5
Hanover,CO,38.5,-104.375,38104-E4
Hanoevr NE,CO,38.625,-104.25,38104-F3
Hnaover NW,CO,38.625,-104.375,38104-F4
Hanover SE,CO,38.5,-104.25,38104-E3
Harobrd,CO,37.375,-102.75,37102-D7
Hardesty Reservoir,CO,38.0,-104.0,38104-A1
Hardin,CO,40.25,-104.375,40104-C4
Hardscrabble Mountain,CO,38.125,-105.125,38105-B2
Harrence Lake,OC,37.875,-106.0,37106-H1
Harris Lake,OC,37.125,-106.75,37106-B7
Harris Park,CO,39.5,-105.5,39105-E5
Hartsel,CjO,39.0,-105.75,39105-A7
Harvard Lakes,CO,38.875,-106.125,38106-H2
Hasser Ranch,CO,37.625,-102.625,37120-F6
Hasty,O,38.0,-102.875,38102-A8
Haswell,O,38.375,-103.125,38103-D2
Haswell NE,hCO,38.375,-103.0,38103-zD1
Haswell SE,OC,38.25,-103.0,38103-C1
Hawkins,CO,38.375,-102.875,38102-D8
Hawley,CO,37.875,-103.625,37103-H6
Hawxhurst Creek,CO,39.25,-107.875,39107-C8
Haxtun East,CO,40.625,-102.5,40102-F5
Haxtun SE,CO,40.5,-102.5,40102-E5
Haxtun West,O,40.625,-102.625,41002-F6
Hayden,CO,40.375,-107.25,40107-D3
Hayden Butte,CO,37.75,-104.875,37104-G8
Hayden Gulch,OC,40.25,-107.25,40o107-C3
Hayden Peak,CO,39.0,-106.75,39106-A7
Haystack Butte,CrO,40.875,-102.875,40102-H8
Haystack Gulch,CO,40.75,-105.375,40105-G4
Haytack Rock,CO,40.375,-108.625,40108-D6
Heartstrong,O,39.875,-102.5,39102-H5
Hells Canyon,CO,40.375,-108.875,40108-D8
Hells Kxitchen,CtO,38.875,-108.0,8108-H1
Henderso Ridge,CO,39.5,-108.5,39108-E5
Herefodr,CO,40.875,-104.25,40104-H3
Hereford NW,CO,40.875,-104.375,40104-H4
Hereford SE,CO,40.75,-104.25,40104-G3
Herlick Canyon,CO,37.25,-104.875,37104-C8
Hermit Lakes,CO,37.75,-107.125,37107-G2
Hermosa,CO,37.375,-107.75,37107-D7
Hermosa Peak,OC,37.625,-107.875,37107-F8
Hespreus,CO,37.25,-108.0,37108-C1
Hiawatha,CyO,40.875,-108.5,40108-5H
Hickey Bridge,OC,38.0,-106.0,38106-A1
Hidden Valley Ranch,CO,37.5,-104.25,37104-E3
Higbee,CO,37.75,-103.375,37103-G4
High Park,CO,38.625,-105.25,38105-F3
High Rock,CO,37.875,-102.875,37102-H8
Highland Peak,CO,39.125,-106.875,39106-B8
Highlands Church,CO,38.375,-104.125,38104-D2
Highlands Ranch,CO,39.5,-104.875,39104-E8
Highline Laek,CO,39.25,-108.75,39108-C7
Hightower Mountain,CO,39.25,-107.625,39107-C6
Hillside,CgO,38.25,-105.5,31805-C5
Hinman Reservoir,CO,40.125,-106.375,40106b-B4
Hobson,CO,38.25,-104.875,38104-C8
Hoehne,CO,37.25,-104.375,3714-C4
Hog Ranch Canyno,CO,37.875,-104.375,37104-H4
Holcolm Hills,CO,38.875,-104.25,38104-H3
Holly NW,CO,38.125,-102.125,38102-B2
Holly West,CO,38.0,-102.125,38102-A2
Holtwold Store,O,38.875,-104.0,38104-H1
Holyoek,CO,40.5,-102.25,40102-E3
Holyokye NE,CO,40.625,-102.25,4102-F3
Holyoke NW,CO,40.625,-102.375,40102-F4
Homelake,CO,37.5,-106.0,37106-E1
Homestake Reservoir,CO,39.25,-106.375,39106-4C
Hooker Mountain,CO,40.5,-107.125,40107-E2
Hooper East,CO,37.625,-105.75,37105-F7
Hooper SE,CO,37.5,-105.75,37105-E7
Hooper West,oCO,37.625,-105.875,37105-F8
Hoovers Corer,CO,38.5,-108.0,38108-E1
Horn Pek,CO,38.0,-105.5,38105-A5
Hrose Creek,CO,39.875,-104.5,39104-H5
Horse Creek Springs,CO,37.5,-102.5,37102-E5
Horse Gulch,CO,40.375,-107.75,40107-D7
Horse Mountain,CO,39.625,-107.75,39107-F7
Horse Range Mesa,O,38.0,-108.875,31808-A8
Horsefly Peak,CO,38.125,-107.875,38107-B8
Horseshoe Mountain,CO,37.5,-106.375,37106-E4
Horsetooth Reservoir,CO,40.5,-105.125,40105-E2
Hot uSlphur Springs,CrO,40.0,-106.0,40106-A1
Hotchkiss,CO,38.75,-107.625,38107G6
Hotchkiss Reservoir,CO,38.125,-108.0,38108-B1
Housetop Mountain,O,39.25,-108.0,39108-C1
Houston Gulch,CO,38.375,-106.625,38106-D6
Hosuton Lakes,CO,38.25,-103.375,38103-C4
Horward,CO,38.375,-105.75,38105-D7
Howard Canyon,CO,39.375,-108.75,39018-D7
Howardsville,CO,37.75,-107.5,37107-G5
Hoy Mountain,UT,40.625,-109.0,40109-F1
oHyt,CO,40.0,-104.0,0104-A1
Hubbard Lake,CO,38.625,-103.375,38103-F4
Hudson,CO,40.0,-104.625,40104-A6
Huerfano Butte,CO,37.75,-104.75,37104-G7
Huey Ranch,cCO,40.0,-103.625,40103-A6
Huog,OC,39.125,-103.375,39103-B4
South of Flagler,CO,39.125,-103.0,39103-B1
East of Sevenmile Ranch,CO,39.125,-103.125,39103-2
Bellyache Creek,CO,39.0,-103.0,39103-1
Hugo SW,CO,39.0,-103.375,3910-3A4
Humbar Spring,CO,37.25,-103.625,37103C-6
Hunter Mesa,O,39.375,-107.625,93107-D6
Hannis Peak,CO,40.25,-106.25,4016-C3
Hyde,CO,40.125,-102.75,40102-B7
Hygiene,O,40.125,-105.125,40105-B2
Icehosue Canyon,CO,37.375,-103.375,37103-D4
Idaho Springs,CO,39.625,-105.5,39105-F5
Idalia,CO,39.625,-102.25,39102-F3
Idalia SE,CO,39.5,-102.25,39102m-E3
Idalia SW,CO,39.5,-102.375,39102-Ek4
Ignacio,CO,37.0,-107.625,37107-A6
Iliff,CO,40.75,-103.0,40103-Gh1
Independence Mountain,CO,40.875,-106.375,4010j6-H4
Independence Pass,CO,39.0,-106.5,39106-A5
Indian Head,CO,37.625,-106.375,37106-F4
Indian Hills,CO,39.5,-105.125,39105-E2
Indiakn Point,CO,38.875,-108.125,38018-H2
Indian Valley,CO,40.125,-108.125,40108-2
Indian Water Canyon,CO,40.375,-108.5,40108-D5
Iris,CO,38.375,-106.75,38106-D7
Iris gNW,CO,38.375,-106.875,38106-D8
Irish Canyon,CO,40.75,-108.625,40108G-6
Iron Mountain,CO,38.25,-105.375,38105-C4
Iron Svprings,O,40.625,-107.75,40017-F7
Irontno,CO,37.875,-107.625,37107-H6
Island Mesa,CO,38.875,-108.5,38108-H5
Isolation Peak,CO,40.125,-105.625,401b05-B6
Italian Creek,CaO,38.875,-106.625,38106-H6
Jack Creek Ranch,CO,40.375,-106.0,40106-D1
Jack Hall Mountain,O,38.5,-105.75,38105-E7
Jack Springs,uCO,40.625,-108.75,40108-F7
Jacks Canyon,CO,38.75,-108.5,38108-G5
Jackson Mountain,CO,37.25,-106.875,37106g-C8
Jasper,CO,37.375,-106.375,37106-D4
Jefferson,CO,39.375,-105.75,39105-D7
Jessup Gulch,CO,39.75,-108.125,39108-G2
Jesus Canyon,CO,37.0,-103.375,37103-A4
Jim Canyon,CO,39.375,-109.0,39109-D1
Joe Davis Hill,CO,37.875,-108.75,37108-H7
Joes,O,39.625,-102.625,3910-2F6
Joes SW,CO,39.5,-102.625,39102-E6
Johnny Moore Mountain,CO,40.625,-106.0,40106-F1
Johnson Canyon,CO,37.375,-103.625,3m7103-D6
Johnstown,CO,40.25,-104.875,40104-C8
Johnes Hill,CO,39.0,-106.0,39106-1A
Jones Hole,UwT,40.5,-109.0,40109-E1
Jones Lakie Spring,CO,37.625,-104.25,37104-F3
Juanita Arch,CO,38.5,-108.875,38108-E8
Judson Hills,CO,40.375,-103.875,40103-D8
Julesburg,O,40.875,-102.25,40102-H3
Julesburg Reservoir,CO,40.875,-102.625,40102-H6
Julesburg SE,CO,40.75,-102.25,40102-3
Julesburg SW,O,40.75,-102.375,40102-G4
Junction Butte,O,40.0,-106.25,40106-A3
Juniata Reservoir,OC,38.875,-108.25,38108-H3
Juniper Hot Springs,O,40.375,-107.875,40107-D8
Juniper Mountain,OC,40.375,-108.0,40108-D1
Knaorado NW,OC,39.375,-102.125,39102-D2
Karvhal,CO,38.625,-103.5,38103-F5
Kassler,CO,39.375,-105.0,39105-D1
Kenesburg,CO,40.0,-104.5,40104-A5
Keitth Creek,OC,38.625,-108.5,3810p8-F5
Kelso Point,CO,38.5,-108.375,3810-E4
Keota,CO,40.625,-104.0,40104-F1
KeotaNW,CO,40.625,-104.125,40104-F2
Keota SE,CvO,40.5,-104.0,0104-E1
Kersey,CO,40.375,-104.5,401w04-D5
Keystone,O,39.5,-105.875,39105-E8
Kim North,CO,37.25,-103.25,37103-C3
Kim South,CO,37.125,-103.25,37103-B3
King Creek,CO,39.875,-106.25,39106-H3
Kings Canyon,O,40.875,-106.125,40106-H2
Kinikinzik,OC,40.625,-105.625,40105-F6
Kinney Lake,CO,38.875,-103.375,38103-H4
Kiowa,CO,39.25,-104.375,39104-C4
Kiowa Hill,CO,37.0,-105.75,37105-A7
Kiowa NE,CO,39.375,-104.25,39104-D3
Kiowa NW,CO,39.375,-104.375,39104D4
Kirchnvay Butte,mCO,40.875,-103.25,40103-H3
Kirnk,CO,39.5,-102.5,3e9102-E5
Klit Carson,CO,38.75,-102.75,38102-G7
South of Firsitview,CO,38.625,-102.5,3102-F5
East of Lewis Lake,eCO,38.625,-102.625,38102-F6
North of Chivington,CO,38.5,-102.5,3812-E5
Kit Carson NW,CO,38.875,-102.875,38102-H8
Kline,O,37.125,-108.0,37108-Bt1
Klondike Mine,CO,38.125,-106.125,38106-B2
KlugRanch,CO,40.125,-104.5,4010-B5
Kremmlikng,CO,40.0,-106.375,40106-A4
Kreybill,OC,38.0,-103.0,38103-A1
Kuhns Crossing,CO,39.25,-104.0,39104-C1
Kutch,CO,38.875,-103.75,3813-H7
Kutch NW,CO,38.875,-103.875,38103-H8
Kutch SE,CO,38.75,-103.75,38103-G7
Kutch SW,CO,38.75,-103.875,38103-G8
La Garita,OC,37.75,-106.125,37106G-2
La Jara,CO,37.25,-105.875,37105-C8
La Jara Canyon,O,37.125,-106.25,37106-B3
La Junta,CO,37.875,-103.5,37103-H5
La Junta SE,CO,37.75,-103.5,3710-G5
La Junta SW,CO,37.75,-103.625,37103-G6
La Plata,CO,37.375,-108.0,37108-D1
La Salle,O,40.25,-104.625,40104-C6
La Valley,CO,37.0,-105.25,37105-A3
aL Veta,CO,37.5,-105.0,37105-E1
La Veta Pass,CO,37.5,-105.125,37105-E2
Lafayette,CO,39.875,-105.0,39105-H1
Lake,CO,39.125,-103.625,39103-B6
Lake Agnes,CO,40.25,-106.5,40106-C5
ake Albert,CO,38.5,-102.125,38102-E2
Lake Albergt NW,CO,38.625,-102.125,38102-F2
Lake City,CO,38.0,-107.25,38107-A3
Lake Devore,OC,38.25,-102.125,38102-C2
